GalaxyName         RA e1 e2   Dec e3 e4 EB-V  (m-M)o e5  e6   vh(km/s) Vmag e7  e8  PA     e=1-b/a  muVo  rh(')   e9    e10  vsig_s e11  e12  vrot_s e13  e14   MHI   Data Key vsig_g  e15  e16  vrot_g notes
#TheGalaxy         17 45 40.0 -29  0 28 9.999 99.99 9.99 9.99  999.9   99.9 9.9 9.9 999.9  9.99     99.9   99.99  9.99  9.99 99.9  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9 
#*CanisMajor       07 12 35.0 -27 40  0 0.264 14.29 0.30 0.30   87.0   -0.1 0.8 0.8 123.0  9.99     24.0   99.99  9.99  9.99 20.0   3.0  3.0 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9 
SagittariusdSph    18 55 19.5 -30 32 43 0.153 17.10 0.15 0.15  140.0    3.6 0.3 0.3 102.0  0.64     25.2  342.00 12.00 12.00 11.4   0.7  0.7 00.0   00.0 00.0  00.0    x   u 00.0   00.0 00.0  00.0 
TucanaIII       23 56 36.0 -59 36 00 9.999 17.01 0.16 0.16  -102    14.6 0.4 0.4 999.9  9.99     99.9    6.00  0.80  0.60 0.1  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
DracoII          15 52 47.6 +64 33 55 0.016 16.90 0.30 0.30  -347   14.0 0.8 0.8  70.0  0.24     99.9    2.70  1.00  0.80  2.9  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9 
Segue(I)          10  7  4.0  16  4 55 0.031 16.80 0.20 0.20  208.5   15.3 0.8 0.8  85.0  0.48     27.6    4.40  1.20  0.60  3.9   0.8  0.8 00.0   00.0 00.0  1.67    gs u 00.0   00.0 00.0  00.0 
Reticulum2        3 35 42.1 -54  2 57 9.999 17.40 0.20 0.20   64    14.7 0.1 0.1  71.0  0.59     99.9    3.64  0.21  0.12  3.4  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9 
CetusII           1 17 52.8 -17 25 12 9.999 17.38 0.19 0.19  999.9   17.4 0.7 0.7 999.9  9.99     99.9    1.90  1.00  0.50 99.9  99.9 99.9 99.9   99.9 99.9  99.9   x    u 99.9   99.9 99.9 999.9 
TriangulumII     02 13 17.4 +36 10 42 0.081 17.40 0.10 0.10  -384   15.6 0.5 0.5  56.0  0.21     99.9    3.90  1.10  0.90 99.9  99.9 99.9 99.9   99.9 99.9  2.20    gs u 99.9   99.9 99.9 999.9 
UrsaMajorII      08 51 30.0  63  7 48 0.094 17.50 0.30 0.30 -116.5   13.3 0.5 0.5  98.0  0.63     27.9   16.00  1.00  1.00  6.7   1.4  1.4 00.0   00.0 00.0  00.0    x   u 00.0   00.0 00.0  00.0
BootesII          13 58  0.0  12 51  0 0.031 18.10 0.06 0.06 -117.0   15.4 0.9 0.9 145.0  0.21     28.1    4.20  1.40  1.40 10.5   7.4  7.4 99.9   99.9 99.9  2.26    gs u 00.0   00.0 00.0  00.0 
SegueII           02 19 16.0  20 10 31 0.185 17.70 0.10 0.10  -39.2   15.2 0.3 0.3 182.0  0.15     27.4    3.40  0.20  0.20  3.4   2.5  1.2 99.9   99.9 99.9  2.09    gs u 99.9   99.9 99.9 999.9 
Willman1          10 49 21.0  51  3  0 0.014 17.90 0.40 0.40  -12.3   15.2 0.7 0.7  77.0  0.47     26.1    2.30  0.40  0.40  4.3   2.3  1.3 99.9   99.9 99.9  00.0    x   u 00.0   00.0 00.0  00.0
ComaBerenices     12 26 59.0  23 54 15 0.017 18.20 0.20 0.20   98.1   14.1 0.5 0.5 115.0  0.38     27.3    6.00  0.60  0.60  4.6   0.8  0.8 00.0   00.0 00.0  2.06    gs u 00.0   00.0 00.0  00.0
TucanaIV          0  2 55.2 -60 51 00 9.999 18.41 0.19 0.19  999.9   14.9 0.3 0.3  11.0  0.40     99.9    9.10  1.70  1.40 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
BootesIII        13 57 12.0  26 48  0 0.021 18.35 0.10 0.10  197.5   12.6 0.5 0.5  90.0  0.50     31.3   99.99  9.99  9.99 14.0   3.2  3.2 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
GrusII           22 04  4.8 -46 26 24 9.999 18.62 0.21 0.21  999.9   14.7 0.2 0.2 999.9  9.99     99.9    6.00  0.90  0.50 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
LMC                05 23 34.5 -69 45 22 0.926 18.52 0.09 0.09  262.2    0.4 0.1 0.1 999.9  9.99     99.9   99.99  9.99  9.99 20.2   0.5  0.5 49.8   15.9 15.9  460.   x    u 15.8    0.2  0.2  63.0
TucanaV          23 37 24.0 -63 16 12 9.999 18.71 0.34 0.34  999.9   17.1 0.5 0.5  30.0  0.70     99.9    1.00  0.30  0.30 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
Tucana2           22 51 55.1 -58 34  8 9.999 18.80 0.20 0.20  -129   15.0 0.1 0.1 107.0  0.39     99.9    9.83  1.66  1.11  8.5  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
SagittariusII    19 52 40.5 -22 04 05 0.097 19.13 0.15 0.15  999.9   13.9 0.4 0.4  72.0  0.23     99.9    2.00  0.40  0.30 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9 
SMC                00 52 44.8 -72 49 43 0.419 19.03 0.12 0.12  145.6    2.2 0.2 0.2 999.9  9.99     99.9   99.99  9.99  9.99 27.6   0.5  0.5 00.0   00.0 00.0  460.    x   u 22.0    2.0  2.0  60.0 
Bootes(I)         14  0  6.0  14 30  0 0.017 19.11 0.08 0.08   99.0   12.8 0.2 0.2  14.0  0.39     27.5   12.60  1.00  1.00  2.4   0.9  0.5 99.9   99.9 99.9   2.76   gs   u 00.0   00.0 00.0  00.0 
Draco              17 20 12.4  57 54 55 0.027 19.40 0.17 0.17 -291.0   10.6 0.2 0.2  89.0  0.31     25.0   10.00  0.30  0.30  9.1   1.2  1.2 00.0   00.0 00.0  00.0    x   u 00.0   00.0 00.0  00.0 
UrsaMinor         15  9  8.5  67 13 21 0.032 19.40 0.10 0.10 -246.9   10.6 0.5 0.5  53.0  0.56     26.0    8.20  1.20  1.20  9.5   1.2  1.2 00.0   00.0 00.0  00.0     x  u 00.0   00.0 00.0  00.0 
HorologiumII      3 16 32.1 -50  1  5 9.999 19.46 0.20 0.20  999.9   16.9 0.2 0.3 127.0  0.52     99.9    2.09  0.44  0.41 99.9  99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9 
Horologium1       2 55 31.7 -54  7  8 9.999 19.50 0.20 0.20  113    16.1 0.1 0.1 999.9  9.99     99.9    1.31  0.19  0.14  5  99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9   
Eridanus3         2 22 45.5 -52 17  1 9.999 19.70 0.20 0.20  999.9   17.7 0.3 0.3  83.0  0.27     99.9    0.54  0.50  0.10 99.9  99.9 99.9 99.9   99.9 99.9  99.9   x    u 99.9   99.9 99.9 999.9   
Phoenix2         23 39 59.4 -54 24 22 9.999 19.60 0.20 0.20  999.9   16.8 0.2 0.2 164.0  0.47     99.9    1.09  0.26  0.16 99.9  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9   
Sculptor           01  0  9.4 -33 42 33 0.018 19.67 0.14 0.14  111.4    8.6 0.5 0.5  99.0  0.32     23.5   11.30  1.60  1.60  9.2   1.4  1.4 00.0   00.0 00.0  0.22   x    u 00.0   00.0 00.0  00.0 
Sextans(I)        10 13  3.0  -1 36 53 0.047 19.67 0.10 0.10  224.2   10.4 0.5 0.5  56.0  0.35     27.1   27.80  1.20  1.20  7.9   1.3  1.3 00.0   00.0 00.0  00.0     x  u 00.0   00.0 00.0  00.0 
ReticulumIII      3 45 26.4 -60 27 00 9.999 19.81 0.31 0.31  999.9   16.5 0.3 0.3 999.9  9.99     99.9    2.40  0.90  0.80 99.9  99.9 99.9 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9 999.9 
