GalaxyName RA_h RA_m RA_s Dec_d Dec_m Dec_s Dist sig1 sig2 vh(km/s) MHI siga sigb r_ell ell_surf_dist
*CanisMajor 7 12 35.0 -27 40 0 14.29 0.3 0.3 87.0 99.9 nan nan 521.7262691134754 -240.53683407064432
SagittariusdSph 18 55 19.5 -30 32 43 17.1 0.15 0.15 140.0 0.0 nan nan 527.7027785906 -234.31108970371497
*TucanaIII 23 56 36.0 -59 36 0 17.01 0.16 0.16 999.9 99.9 nan nan 525.7091580839516 -230.73949956555327
*DracoII 15 52 47.6 64 33 55 16.9 0.3 0.3 999.9 99.9 nan nan 512.0687779603446 -236.35353464959147
Segue(I) 10 7 4.0 16 4 55 16.8 0.2 0.2 208.5 0.0 nan nan 530.9617588224518 -225.2786256835853
*Reticulum2 3 35 42.1 -54 2 57 17.4 0.2 0.2 999.9 99.9 nan nan 530.1962261332234 -222.37589065848738
*CetusII 1 17 52.8 -17 25 12 17.38 0.19 0.19 999.9 99.9 nan nan 506.4590980042199 -235.75178073062293
*TriangulumII 2 13 17.4 36 10 42 17.4 0.1 0.1 999.9 99.9 nan nan 490.8674188224992 -249.4835408849484
UrsaMajorII 8 51 30.0 63 7 48 17.5 0.3 0.3 -116.5 1.9 1.9 0.0 511.94448401098936 -227.392737439179
BootesII 13 58 0.0 12 51 0 18.1 0.06 0.06 -117.0 5.2 5.2 0.0 547.7234170214866 -213.0490151786883
SegueII 2 19 16.0 20 10 31 17.7 0.1 0.1 -39.2 2.5 2.5 99.9 490.71544263592614 -244.59597107107226
Willman1 10 49 21.0 51 3 0 17.9 0.4 0.4 -12.3 2.5 2.5 0.0 524.745652497562 -216.38701841725745
ComaBerenices 12 26 59.0 23 54 15 18.2 0.2 0.2 98.1 0.9 0.9 0.0 546.5690258360237 -207.67216431578436
*TucanaIV 0 2 55.2 -60 51 0 18.41 0.19 0.19 999.9 99.9 99.9 99.9 539.101425985799 -208.63261914505028
*BootesIII 13 57 12.0 26 48 0 18.35 0.1 0.1 197.5 3.8 3.8 99.9 545.1457381331676 -207.0341804207007
*GrusII 22 4 4.8 -46 26 24 18.62 0.21 0.21 999.9 99.9 99.9 99.9 535.5957650085484 -207.74952848359578
LMC 5 23 34.5 -69 45 22 18.52 0.09 0.09 262.2 3.4 3.4 460.0 555.6617368370833 -202.2243859644436
*TucanaV 23 37 24.0 -63 16 12 18.71 0.34 0.34 999.9 99.9 99.9 99.9 547.343952274394 -201.35032847318206
Tucana2 22 51 55.1 -58 34 8 18.8 0.2 0.2 999.9 99.9 99.9 99.9 546.024934954077 -200.36755409644624
*SagittariusII 19 52 40.5 -22 4 5 19.13 0.15 0.15 999.9 99.9 99.9 99.9 542.1195383298285 -197.29316172554184
SMC 0 52 44.8 -72 49 43 19.03 0.12 0.12 145.6 0.6 0.6 460.0 561.4383408671232 -191.15896622159084
Bootes(I) 14 0 6.0 14 30 0 19.11 0.08 0.08 99.0 2.1 2.1 0.0 570.1899577876278 -188.67288849387123
Draco 17 20 12.4 57 54 55 19.4 0.17 0.17 -291.0 0.1 0.1 0.0 514.4890112679855 -202.43666684106924
UrsaMinor 15 9 8.5 67 13 21 19.4 0.1 0.1 -246.9 0.1 0.1 0.0 520.4794987243181 -197.94546542720738
*HorologiumII 3 16 32.1 -50 1 5 19.46 0.2 0.2 999.9 99.9 99.9 99.9 563.335104057231 -177.19715716016788
*Horologium1 2 55 31.7 -54 7 8 19.5 0.2 0.2 999.9 99.9 99.9 99.9 566.5853774349408 -175.67448022556948
*Eridanus3 2 22 45.5 -52 17 1 19.7 0.2 0.2 999.9 99.9 99.9 99.9 569.538237244898 -170.02959565758516
*Phoenix2 23 39 59.4 -54 24 22 19.6 0.2 0.2 999.9 99.9 99.9 99.9 563.4500524709084 -176.43612570232028
Sculptor 1 0 9.4 -33 42 33 19.67 0.14 0.14 111.4 0.1 0.1 0.22 534.2386106817625 -186.38676113978013
Sextans(I) 10 13 3.0 -1 36 53 19.67 0.1 0.1 224.2 0.1 0.1 0.0 599.6436672883551 -164.19024737911172
*ReticulumIII 3 45 26.4 -60 27 0 19.81 0.31 0.31 999.9 99.9 99.9 99.9 588.8569326886021 -161.50116842586988
*Indus1 21 8 49.1 -51 9 56 20.0 0.2 0.2 999.9 99.9 99.9 99.9 588.440539329943 -159.79953814927921
UrsaMajor(I) 10 34 52.8 51 55 12 19.93 0.1 0.1 -55.3 1.4 1.4 0.0 563.9534363351638 -164.9293022135111
*Grus1 22 56 42.4 -50 9 48 20.4 0.2 0.2 999.9 99.9 99.9 99.9 601.8509511292671 -142.44590790561568
*Pictoris1 4 43 47.4 -50 16 59 20.3 0.2 0.2 999.9 99.9 99.9 99.9 617.0589217967353 -137.46128022537104
Carina 6 41 36.7 -50 57 58 20.11 0.13 0.13 222.9 0.1 0.1 0.0 618.0497548756604 -145.4230658136244
Hercules 16 31 2.0 12 47 30 20.6 0.2 0.2 45.2 1.1 1.1 0.0 631.3165417730138 -127.66359643577738
HydraII 12 21 42.1 -31 59 7 20.64 0.16 0.16 303.1 1.4 1.4 99.9 654.5860504566078 -161.4725120723358
Fornax 2 39 59.3 -34 26 57 20.84 0.18 0.18 55.3 0.1 0.1 0.17 612.0054470744092 -125.86554805848172
LeoIV 11 32 57.0 0 32 0 20.94 0.09 0.09 132.3 1.4 1.4 0.0 688.5365676180044 -104.47357971867561
CanesVenaticiII 12 57 10.0 34 19 15 21.02 0.06 0.06 -128.9 1.2 1.2 0.0 681.1563855041642 -93.95359281468004
LeoV 11 31 9.6 2 13 12 21.25 0.12 0.12 173.3 3.1 3.1 0.0 722.5578241583545 -80.39011716277165
PiscesII 22 58 31.0 5 57 9 21.3 9.99 9.99 999.9 9.9 9.9 99.9 483.70616914329736 -181.55390211699134
*ColumbaI 5 31 26.4 -28 1 48 21.3 0.22 0.22 999.9 99.9 99.9 99.9 709.8261042448374 -73.66983005584137
*Pegasus3 22 24 22.6 5 25 12 21.56 0.2 0.2 999.9 99.9 99.9 99.9 525.8504603656227 -155.33919198597505
*IndusI? 20 38 52.8 -46 9 36 21.65 0.16 0.16 999.9 99.9 99.9 99.9 759.6282499883064 -47.909366978600204
CanesVenatici(I) 13 28 3.5 33 33 21 21.69 0.1 0.1 30.9 0.6 0.6 0.0 779.3546766130722 -37.27323524426363
LeoII 11 13 28.8 22 9 6 21.84 0.13 0.13 78.0 0.1 0.1 0.0 819.4507352244091 -16.50816789319277
LeoI 10 8 28.1 12 18 23 22.02 0.13 0.13 282.5 0.1 0.1 0.0 859.2847628681682 5.005053909967935
M32 0 42 41.8 40 51 55 24.53 0.21 0.21 -199.0 6.0 6.0 0.0 287.7113257603464 -310.36810538163064
AndromedaIX 0 52 53.0 43 11 45 24.42 0.07 0.07 -209.4 2.5 2.5 0.0 262.97059374166616 -286.78017021548493
NGC205 0 40 22.1 41 41 7 24.58 0.07 0.07 -246.0 1.0 1.0 0.4 306.87959412118585 -303.83359771409613
AndromedaI 0 45 39.8 38 2 28 24.36 0.07 0.07 -376.3 2.2 2.2 0.0 249.31342022343358 -283.269631250757
AndromedaXVII 0 37 7.0 44 19 20 24.31 0.11 0.08 -251.6 1.8 2.0 0.0 232.3141237162244 -286.98916450494664
AndromedaXXVII 0 37 27.1 45 23 13 24.59 0.12 0.12 -539.6 4.7 4.5 99.9 343.47379914827604 -252.3514842199862
AndromedaIII 0 35 33.8 36 29 52 24.37 0.07 0.07 -344.3 1.7 1.7 0.0 278.7227012610632 -261.12659057515333
AndromedaXXV 0 30 8.9 46 51 7 24.55 0.12 0.12 -107.8 1.0 1.0 99.9 360.20016833843954 -231.44870267528447
AndromedaXXVI 0 23 45.6 47 54 58 24.41 0.12 0.12 -261.6 3.0 2.8 99.9 342.6711178029258 -225.9133870991711
AndromedaV 1 10 17.1 47 37 41 24.44 0.08 0.08 -403.0 4.0 4.0 0.0 366.6191342138222 -215.36894731508949
AndromedaXI 0 46 20.0 33 48 5 24.33 0.05 0.05 -419.6 4.4 4.4 0.0 318.62585140797705 -232.2630616487332
AndromedaXIX 0 19 32.1 35 2 37 24.57 0.08 0.43 -111.6 1.6 1.4 99.9 403.25920440635645 -206.1176116920034
AndromedaXXIII 1 29 21.8 38 43 8 24.43 0.13 0.13 -237.7 1.2 1.2 99.9 393.6754872349063 -200.16846437043463
AndromedaXX 0 7 30.7 35 7 56 24.35 0.12 0.16 -456.2 3.1 3.6 99.9 364.96734575474807 -209.29839208343225
AndromedaXIII 0 51 51.0 33 0 16 24.62 0.05 0.05 -185.4 2.4 2.4 0.0 439.19478295924966 -190.04625741762572
AndromedaX 1 6 33.7 44 48 16 24.13 0.08 0.13 -164.1 1.7 1.7 0.0 223.1607415420798 -267.5685456198376
AndromedaXXI 23 54 47.7 42 28 15 24.59 0.06 0.07 -362.5 0.9 0.9 99.9 441.05874122017855 -186.1697816843745
AndXXXII 0 35 59.4 51 33 35 24.45 0.14 0.14 999.9 99.9 99.9 99.9 426.79410952447773 -184.4245373165494
NGC147 0 33 12.1 48 30 32 24.15 0.09 0.09 -193.1 0.8 0.8 0.0 266.6633813687274 -246.22670522064982
AndXXX 0 36 34.9 49 38 48 24.17 0.1 0.26 -139.8 6.0 6.6 99.9 296.02333450381906 -233.03550570329386
AndromedaXIV 0 51 35.0 29 41 49 24.5 0.06 0.56 -480.6 1.2 1.2 0.0 479.441007787459 -161.08565904057167
AndromedaXII 0 47 27.0 34 22 29 24.84 0.09 0.34 -558.4 3.2 3.2 0.0 492.5093519274075 -181.67796048955955
AndromedaXV 1 14 18.7 38 7 3 23.98 0.26 0.12 -323.0 1.4 1.4 0.0 215.3330696139578 -261.54216305068184
AndromedaII 1 16 29.8 33 25 9 24.07 0.06 0.06 -192.4 0.5 0.5 0.0 318.24980426778393 -218.65975069360522
NGC185 0 38 58.0 48 20 15 23.95 0.09 0.09 -203.8 1.1 1.1 0.11 213.07306718478296 -261.1321806032103
AndromedaXXIX 23 58 55.6 30 45 20 24.32 0.22 0.22 -194.4 1.5 1.5 99.9 472.58101199445764 -157.66497277532503
AndromedaXXIV 1 18 30.0 46 21 58 23.89 0.12 0.12 -128.2 5.2 5.2 99.9 231.03807354567607 -251.21862114369128
AndromedaVII 23 26 31.7 50 40 33 24.41 0.1 0.1 -307.2 1.3 1.3 0.0 571.0026746166972 -116.56731884188373
IC10 0 20 17.3 59 18 14 24.5 0.12 0.12 -348.0 1.0 1.0 50.0 669.0100807015191 -75.70853434834875
AndXXXI 22 58 16.3 41 17 28 24.4 0.12 0.12 999.9 99.9 99.9 99.9 662.5247322618411 -77.29626655018716
LGS3 1 3 55.0 21 53 6 24.43 0.07 0.07 -286.5 0.3 0.3 0.38 685.6521926182404 -67.9070510446756
AndromedaVI 23 51 46.3 24 34 57 24.47 0.07 0.07 -339.8 1.9 1.9 0.0 696.4829044962869 -63.64912730051979
AndromedaXXII 1 27 40.0 28 5 25 24.82 0.07 0.36 -129.8 2.0 2.0 99.9 734.2447742364072 -51.34911302321033
AndromedaXVI 0 59 29.8 32 22 36 23.39 0.19 0.14 -367.3 2.8 2.8 0.0 203.37468474195245 -260.32890854075544
AndromedaXXVIII 22 32 41.2 31 12 58 24.1 0.5 0.2 -326.2 2.7 2.7 99.9 770.5136040205061 -31.87741322687333
AndXXXIII 3 1 23.6 40 59 18 24.44 0.18 0.18 999.9 99.9 99.9 99.9 865.6909307393904 6.395399171046414
IC1613 1 4 47.8 2 7 4 24.39 0.12 0.12 -231.6 1.2 1.2 65.0 1201.1338064633517 140.67947471834168
Phoenix 1 51 6.3 -44 26 41 23.09 0.1 0.1 -13.0 9.0 9.0 0.12 1145.015172575694 131.5209043204626
Eridanus2 3 44 21.1 -43 32 0 22.9 0.2 0.2 999.9 99.9 99.9 99.9 1095.8886627388738 113.330530785617
NGC6822 19 44 56.6 -14 47 21 23.31 0.08 0.08 -54.5 1.7 1.7 130.0 1235.5185629206073 170.85547256663298
Cetus 0 26 11.0 -11 2 40 24.39 0.07 0.07 -83.9 1.2 1.2 0.0 1493.5680818193932 257.68987392878495
PegasusdIrr 23 28 36.3 14 44 35 24.82 0.07 0.07 -179.5 1.5 1.5 5.9 1215.5954413299676 150.37469185216514
LeoT 9 34 53.4 17 3 5 23.1 0.1 0.1 38.1 2.0 2.0 0.28 1197.9628229450327 167.4536978360146
WLM 0 1 58.2 -15 27 39 24.85 0.08 0.08 -130.0 1.0 1.0 61.0 1945.0622034754817 438.0300145184412
AndromedaXVIII 0 2 14.5 45 5 20 25.42 0.07 0.08 -332.1 2.7 2.7 99.9 813.9577928814062 -22.066921064151966
LeoA 9 59 26.5 30 44 47 24.51 0.12 0.12 24.0 1.5 1.5 11.0 2086.234164639218 536.7848836246579
Aquarius 20 46 51.8 -12 50 53 25.15 0.08 0.08 -137.7 2.1 2.1 4.1 2593.1682179990257 703.9359514801768
Tucana 22 41 49.6 -64 25 10 24.74 0.12 0.12 194.0 4.3 4.3 0.0 2246.360000831929 628.5220081842193
SagittariusdIrr 19 29 59.0 -17 40 51 25.14 0.18 0.18 -78.5 1.0 1.0 8.8 2705.82753491275 776.5905364361424
UGC4879 9 16 2.2 52 50 24 25.67 0.04 0.04 -29.2 1.6 1.3 0.95 3312.5012883945224 988.1619603708095
AntliaB 9 48 56.1 -25 59 24 25.56 0.16 0.16 376.0 2.0 2.0 0.28 2596.6647679951457 1014.1710932859622
NGC3109 10 3 6.9 -26 9 35 25.57 0.08 0.08 403.0 2.0 2.0 450.0 2508.0774017346384 1013.1888481655393
