,GalaxyName,M_dyn,MHI_computed,MHI/M_dyn
0,SagittariusdSph,197237510.1594154,122.45408185265198,6.208458104834095e-07
1,TucanaIII,255.44943897119933,91.89114490090122,0.35972341638715244
2,DracoII,126320.92612811594,70.60196425864088,0.0005589094888920911
3,Segue1,82309.8368681221,46.65675611252086,0.0005668430152191278
4,Reticulum2,214394.14487273115,132.74892698458365,0.000619181680840147
5,CetusII,69925.37950509146,126.78365080182249,0.0018131278185281928
6,TriangulumII,2720132.3367178845,121.39229076162876,4.462734739887724e-05
7,UrsaMajorII,2049584.582472737,93.57211199999998,4.5654184169900996e-05
8,BootesII,3256728.7746125963,182.12243050936553,5.592189068032842e-05
9,SegueII,216601.02108693632,269.0369643093985,0.0012420853925772409
10,Willman1,702392.2649950817,3684.136887677212,0.005245127361564851
11,ComaBerenices,935019.3887136243,113.89985952476903,0.00012181550553884185
12,TucanaIV,1364997.9725071825,163.69418714443208,0.0001199226595507421
13,BootesIII,90339529.95789827,107.58404815410168,1.1908856311765185e-06
14,GrusII,2335569.656414916,397.24940313396297,0.00017008672896690147
15,LMC,633067940.2635732,460000000.0,0.7266202736604895
16,TucanaV,107674.17103889525,388.42373747819016,0.00360739937656803
17,TucanaII,2992838.449389873,211.79024266227847,7.076567821609433e-05
18,SagittariusII,708858.8282309828,635.4234721453141,0.0008964034118486853
19,SMC,36063068.31656493,460000000.0,12.755431566778446
20,Bootes,1931646.69821325,570.6050379717902,0.0002953982415622862
21,Draco,10832516.457355147,506.9397025941739,4.679796283623165e-05
22,UrsaMinor,6549704.9707573075,598.5852364615366,9.13911755008906e-05
23,HorologiumII,1347398.5292368103,775.0072456295995,0.0005751878370155094
24,Horologium1,280895.62894032855,764.3207540811753,0.0027210133420892146
25,Eridanus3,434521.1318290634,1074.145846241324,0.0024720221125261246
26,Phoenix2,80916.27333930525,832.6877565980333,0.01029073290494155
27,Sculptor,1783446.2544168693,3216.0910941879756,0.0018033013813693736
28,Sextans,2937149.3276500455,391.7321577994745,0.00013337154979208756
29,ReticulumIII,370250727.88429815,1010.3740397747455,2.7288914340513686e-06
30,IndusI,275504.85055632313,1416.0000000000002,0.005139655425814431
31,UrsaMajor,3906140.043919729,6811.551286571539,0.0017438062153389388
32,GrusI,759700.8853789681,2165.8529076975533,0.002850928502758217
33,Pictoris1,984608.4520944706,1866.6515417958767,0.0018958313203843759
34,Carina,16045237.628603986,1127.8098307322118,7.028938161200276e-05
35,Hercules,4047322.5565621015,1530.633073672009,0.0003781841086992996
36,HydraII,3475760.4309299556,2558.6132897298457,0.0007361305074312263
37,Fornax,14353764.420415321,3815.6415820000707,0.000265828633537631
38,LeoIV,3112088.127068282,2292.751670375776,0.0007367245324558481
39,CanesVenaticiII,3575662.0907398975,2371.044611698523,0.0006631064545609488
40,LeoV,7189017.103838679,3249.8742066977734,0.00045206099244950415
41,PiscesII,984767.9543203783,1607.1262674416662,0.0016319847334500222
42,ColumbaI,582154528.6324401,5157.698348212833,8.859672294105424e-06
43,PegasusIII,1311851.1935845618,3109.678354410729,0.0023704505279396075
44,IndusII,3050276.5808818773,6148.750326699301,0.002015800916296453
45,CanesVenatici(I),9535231.22847517,5137.783255119092,0.0005388210450288895
46,LeoII,7570489.357741111,4467.924511197437,0.0005901764469992704
47,LeoI,1223006.0788325255,10192.513046474072,0.008333983962045214
48,M32,540539226.0146341,176702.82413085186,0.0003269010196238153
49,AndromedaIX,38366016.335490756,55334.62428808137,0.001442282248024111
50,NGC205,492551.10988314805,400000.0,0.8120984644515272
51,AndromedaI,40524320.380537264,75490.19896782096,0.001862836890512712
52,AndromedaXVII,1280475.8257309156,41792.441494908395,0.03263821202641808
53,AndromedaXXVII,55074382.78155478,91039.81474305879,0.0016530337726008862
54,AndromedaIII,24018300.867309064,62466.74628965963,0.0026007978930217396
55,AndromedaXXV,3702690.970294466,289550.2249762252,0.07819994358135644
56,AndromedaXXVI,9509345.030109249,50044.453596407686,0.005262660408046288
57,AndromedaV,24136673.69403597,80461.55479625608,0.003333580915755499
58,AndromedaXI,1861777.2318505498,46342.55543034587,0.024891568463474432
59,AndromedaXIX,163419382.4959363,134644.9430959646,0.0008239227259307064
60,AndromedaXXIII,30090418.773981366,81961.66420634136,0.0027238459132782862
61,AndromedaXX,3341536.9656744166,54099.65881952437,0.016190052474432382
62,AndromedaXIII,3716244.6127270106,69487.32097704902,0.018698263494032665
63,AndromedaX,6018066.7866140595,34335.10731737203,0.005705338364430144
64,AndromedaXXI,9900263.979290172,68938.08398953959,0.006963257154935207
65,CassiopeiaIII,60065573.99198256,75510.35708849407,0.0012571320320450621
66,NGC147,92566305.45858735,67278.97883786725,0.0007268193162140058
67,AndromedaXXX,21639712.469405893,40179.86383908407,0.0018567651439865545
68,AndromedaXIV,6399622.599612367,23761.7027596508,0.0037129850065049266
69,AndromedaXII,1271398.353907099,79257.11058048169,0.062338534839941284
70,AndromedaXV,2042015.6010878116,40923.15702039255,0.020040570208470585
71,AndromedaII,41470053.696401246,44332.79962077016,0.001069031642575793
72,NGC185,152797541.55066663,110000.0,0.0007199068707759591
73,AndromedaXXIX,6813218.791029876,25064.074309628937,0.0036787420275755283
74,AndromedaXXIV,2120820799.5432591,39587.90472252748,1.866631293462095e-05
75,AndromedaVII,76051616.8916931,65554.20874727161,0.0008619699544406649
76,IC10,3544300640.4193916,50000000.0,0.014107155422933755
77,LacertaI,57026595.203631766,95741.69677415615,0.0016788955474595613
78,LGS3,17006979.183464173,380000.0,0.022343768161336534
79,AndromedaVI,46743896.227733694,24143.649896009676,0.0005165091454589737
80,AndromedaXXII,1144452.096608381,39283.68717351311,0.03432532238783216
81,AndromedaXVI,1033025.1683852863,20296.339297768245,0.019647478027561803
82,AndromedaXXVIII,5389699.50868934,17788.18745008495,0.0033004043029498426
83,PerseusI,3909319.8527504764,78622.38281965228,0.020111524710452126
84,IC1613,101192500.05857122,65000000.0,0.6423400940027904
85,Phoenix,22767085.832754098,120000.0,0.005270766793849426
86,EridanusII,14047845.299901647,19444.055796074223,0.0013841308315240598
87,NGC6822,110503376.03544728,130000000.0,1.1764346453840342
88,Cetus,28084058.298173513,95114.61460733594,0.0033867831207828624
89,PegasusdIrr,49338190.83279314,5900000.0,0.11958282013207716
90,LeoT,3916619.882004944,280000.0,0.07149021565418447
91,WLM,415658882.82846254,61000000.0,0.14675495344862863
92,AndromedaXVIII,17720868.330540992,223479.5467967583,0.012611094593576037
93,LeoA,12993967.259047333,11000000.0,0.8465466920690453
94,Aquarius,16585372.122894559,4099999.9999999995,0.24720578890963393
95,Tucana,6328922.345006938,85395.81245612683,0.01349294679267126
96,SagittariusdIrr,1634278516.0910275,8800000.0,0.005384639101203145
97,UGC4879,8679206.583490817,950000.0,0.10945700979246718
98,AntliaB,1568979162.1814234,280000.0,0.0001784599864351947
99,NGC3109,9413543522.311754,450000000.0,0.047803465181142556
100,SextansB,16316971.0150488,51000000.0,3.125580106317758
101,Antlia,2725623878.494334,730000.0,0.0002678285899092065
102,SextansA,5956369519.257271,77000000.0,0.012927337659467695
103,HIZSS3(A),281994895886.96936,14000000.0,4.96462886534356e-05
104,HIZSS3B,281994895886.96936,2600000.0,9.22002503563804e-06
105,LeoP,3276920651.2577105,940000.0,0.0002868546724313327
106,ESO410-G005,1619029207.7020738,730000.0,0.00045088748030438944
107,KKR25,1521887455.2399495,605836.340434887,0.00039808222240675964
108,ESO294-G010,1437255468.2874067,340000.0,0.00023656198045649774
109,IC5152,3184611166.2069683,87000000.0,0.027318876766868016
110,KKH98,2719347152.455423,6600000.0,0.0024270531234088883
111,UKS2323-326,3346009646.6382465,17000000.0,0.005080678717432865
112,KK258,39432123695.59697,869026.1108125001,2.2038531769708777e-05
113,KKR3,1326133298.3234158,2500000.0,0.0018851800216167281
114,KKs3,2033103719.7606554,581479.1964775379,0.0002860056724238308
115,GR8,1173369128.2501132,11000000.0,0.009374714005305975
116,UGC9128,2468679173.680622,18000000.0,0.007291348423036802
117,UGC8508,1826139580.5753555,29000000.0,0.01588049473790118
118,IC3104,7682113805.96597,13000000.0,0.0016922425686930246
119,DDO125,4521869437.615168,35000000.0,0.007740161559918675
120,UGCA86,4692589158.163352,860000000.0,0.18326769529864367
121,DDO99,3931218552.6393576,52000000.0,0.013227450802776668
122,IC4662,1974812723.4072506,180000000.0,0.09114788347597655
123,DDO190,3009294235.799109,43000000.0,0.014289064687814244
124,KKH86,1217426387.0502372,880000.0,0.0007228363122079157
125,NGC4163,2165195885.065383,7900000.0,0.003648630617899702
126,DDO113,3478425604.9027634,48000000.0,0.013799346443501644
127,Antlia2,920936.4031264354,110.73266880791027,0.0001202392135135392
128,CetusIII,,8442.966417958378,
129,DESJ0225+0304,,70.83813016256323,
130,PictorII,,285.48978050441946,
131,VirgoI,,811.5112849350663,
132,HydrusI,251353.61542180757,124.06384524087288,0.0004935828952874852
133,CarinaII,612535.5700867317,220.09501933376762,0.00035931794018525875
134,CarinaIII,551519.69330907,101.20570303583507,0.00018350333499173838
135,CraterII,4508538.941575568,3010.121142763638,0.0006676489172591491
136,AquariusII,2700917.996128318,1739.2784604945975,0.0006439582627046801
