GalaxyName  PA  ERPA+  ERPA-  e=1-b/a  ere+  ere-  rh(arcmins)  errh+  errh-  MHI  RA  DEC  vh(m/s)
TucanaIII         999.9  99.9  99.9  9.99  9.99  9.99    6      0.8    0.6    99.9   359.15    -59.6     -102000
DracoII            70    28    28    0.24  0.27  0.24    2.7    1      0.8    99.9   238.196    64.5653  -347000
Segue(I)           85     8     8    0.48  0.13  0.13    4.4    1.2    0.6     0     151.767    16.0819   208000
Reticulum2         71     1     1    0.59  0.02  0.03    3.64   0.21   0.12   99.9    53.925   -54.0492    64000
CetusII           999.9  99.9  99.9  9.99  9.99  9.99    1.9    1      0.5    99.9    19.4667  -17.42     999001
TriangulumII       56    16    24    0.21  0.17  0.21    3.9    1.1    0.9    99.9    33.3208   36.1783  -384000
UrsaMajorII        98     4     4    0.63  0.05  0.05   16      1      1       0     132.875    63.13    -116000
BootesII          145    55    55    0.21  0.21  0.21    4.2    1.4    1.4     0     209.5      12.85    -117000
SegueII           182    17    17    0.15  0.1   0.1     3.4    0.2    0.2    99.9    34.8167   20.1753  -392000
Willman1           77     5     5    0.47  0.08  0.08    2.3    0.4    0.4     0     162.338    51.05    -123000
ComaBerenices     115    10    10    0.38  0.14  0.14    6      0.6    0.6     0     186.746    23.9042    98100
TucanaIV           11     9     9    0.4   0.1   0.1     9.1    1.7    1.4    99.9     0.7292  -60.85     999001
BootesIII          90    99.9  99.9  0.5   9.99  9.99   99.99   9.99   9.99   99.9   209.3      26.8      197000
GrusII            999.9  99.9  99.9  9.99  9.99  9.99    6      0.9    0.5    99.9   331.017   -46.44     999001
TucanaV            30     5     5    0.7   0.1   0.2     1      0.3    0.3    99.9   354.35    -63.27     999001
Tucana2           107    18    18    0.39  0.1   0.2     9.83   1.66   1.11   99.9   342.979   -58.5689  -129000
SagittariusII      72    28    20    0.23  0.17  0.23    2      0.4    0.3    99.9   298.167   -22.0681   999001
Bootes(I)          14     6     6    0.39  0.06  0.06   12.6    1      1       0     210.025    14.5       99000
Draco              89     2     2    0.31  0.02  0.02   10      0.3    0.3     0     260.05     57.9153  -291000
UrsaMinor          53     5     5    0.56  0.05  0.05    8.2    1.2    1.2     0     227.283    67.2225  -246900
HorologiumII      127    11    11    0.52  0.13  0.17    2.09   0.44   0.41   99.9    49.1333  -50.0181   999001
Horologium1       999.9  99.9  99.9  9.99  9.99  9.99    1.31   0.19   0.14   99.9    43.8792  -54.1189   113000
Eridanus3          83    36    36    0.27  0.3   0.16    0.54   0.5    0.1    99.9    35.6875  -52.2836   999001
Phoenix2          164    54    54    0.47  0.08  0.29    1.09   0.26   0.16   99.9   354.996   -54.4061   999001
Sculptor           99     1     1    0.32  0.03  0.03   11.3    1.6    1.6     0.22   15.0375  -33.7092   111400
SextansI           56     5     5    0.35  0.05  0.05   27.8    1.2    1.2     0     153.262    -1.6147   224200
ReticulumIII      999.9  99.9  99.9  9.99  9.99  9.99    2.4    0.9    0.8    99.9    56.3583  -60.45     999900
Indus1            999.9  99.9  99.9  9.99  9.99  9.99    1.26   0.45   0.27   99.9   317.204   -51.1656   999900
UrsaMajor(I)       71     3     3    0.8   0.04  0.04   11.3    1.7    1.7     0     158.717    51.92     -55300
Grus1               4    60    60    0.41  0.2   0.28    1.77   0.85   0.39   99.9   344.175   -50.1633  -140500
Pictoris1          78    23    23    0.47  0.12  0.29    0.88   0.27   0.13   99.9    70.9458  -50.2831   999900
Carina             65     5     5    0.33  0.05  0.05    8.2    1.2    1.2     0     100.4     -50.9661   222900
Hercules          102     4     4    0.68  0.08  0.08    8.6    1.8    1.1     0     247.758    12.7917    45200
HydraII            28    40    35    0.01  0.19  0.01    1.7    0.3    0.2    99.9   185.425   -31.9853   303100
Fornax             41     1     1    0.3   0.01  0.01   16.6    1.2    1.2     0.17   39.9958  -34.4492    55300
LeoIV             121     9     9    0.49  0.11  0.11    4.6    0.8    0.8     0     173.238     0.5333   132300
CanesVenaticiII   177     9     9    0.52  0.11  0.11    1.6    0.3    0.3     0     194.292    34.3208  -128900
LeoV               96    13    13    0.5   0.15  0.15    2.6    0.6    0.6     0     172.787     2.22     173300
PiscesII           77    12    12    0.4   0.1   0.1     1.1    0.1    0.1    99.9   344.629     5.9525  -226500
ColumbaI          999.9  99.9  99.9  9.99  9.99  9.99    1.9    0.5    0.4    99.9    82.8583  -28.03     999900
Pegasus3          133    17    17    0.46  0.18  0.26    1.3    0.5    0.4    99.9   336.092     5.42     999900
IndusI?           999.9  99.9  99.9  9.99  9.99  9.99    2.9    1.1    1      99.9   309.717   -46.16     999900
CanesVenatici(I)   70     4     4    0.39  0.03  0.03    8.9    0.4    0.4     0     202.012    33.5558    30900
LeoII              12    10    10    0.13  0.05  0.05    2.6    0.6    0.6     0     168.367    22.1517    78000
LeoI               79     3     3    0.21  0.03  0.03    3.4    0.3    0.3     0     152.117    12.3064   282500
M32               159     2     2    0.25  0.02  0.02    0.47   0.05   0.05    0      10.6708   40.8653  -199000
AndromedaIX       999.9  99.9  99.9  9.99  9.99  9.99    2.5    0.1    0.1     0      13.2208   43.1958  -209400
NGC205             28     5     5    0.43  0.1   0.1     2.46   0.1    0.1     0.4    10.0917   41.6853  -246000
AndromedaI         22    15    15    0.22  0.04  0.04    3.1    0.3    0.3     0      11.4125   38.0411  -376300
AndromedaXVII     122     7     7    0.27  0.06  0.06    1.24   0.08   0.08    0       9.2792   44.3222  -251600
AndromedaXXVII    150    10    10    0.4   0.2   0.2     1.8    0.3    0.3    99.9     9.3625   45.3869  -539600
AndromedaIII      136     3     3    0.52  0.02  0.02    2.2    0.2    0.2     0       8.8875   36.4978  -344300
AndromedaXXV      170    10    10    0.25  0.05  0.05    3      0.2    0.2    99.9     7.5333   46.8519  -107800
AndromedaXXVI     145    10    10    0.25  0.05  0.05    1      0.1    0.1    99.9     5.9375   47.9161  -261600
AndromedaV         32    10    10    0.18  0.05  0.05    1.4    0.2    0.2     0      17.5708   47.6281  -403000
AndromedaXI       999.9  99.9  99.9  9.99  9.99  9.99    0.71   0.03   0.03    0      11.5833   33.8014  -419600
AndromedaXIX       37     8     8    0.17  0.02  0.02    6.2    0.1    0.1    99.9     4.8833   35.0436  -111600
AndromedaXXIII    138     5     5    0.4   0.05  0.05    4.6    0.2    0.2    99.9    22.3375   38.7189  -237700
AndromedaXX        80    20    20    0.3   0.15  0.15    0.53   0.14   0.04   99.9     1.875    35.1322  -456200
AndromedaXIII     999.9  99.9  99.9  9.99  9.99  9.99    0.78   0.08   0.08    0      12.9625   33.0044  -185400
AndromedaX         46     5     5    0.44  0.06  0.06    1.3    0.1    0.1     0      16.6375   44.8044  -164100
AndromedaXXI      110    15    15    0.2   0.07  0.07    3.5    0.3    0.3    99.9   358.696    42.4708  -362500
AndXXXII          -90     7     7    0.5   0.09  0.09    6.5    1.2    1      99.9     8.9958   51.5597   999900
NGC147             25     3     3    0.41  0.02  0.02    3.17   9.99   9.99    0       8.3      48.5089  -193100
AndXXX            999.9  99.9  99.9  9.99  9.99  9.99    1.35   0.12   0.18   99.9     9.1417   49.6467  -139800
AndromedaXIV      999.9  99.9  99.9  0.31  0.09  0.09    1.7    0.8    0.8     0      12.8958   29.6969  -480600
AndromedaXII      999.9  99.9  99.9  9.99  9.99  9.99    1.2    0.2    0.2     0      11.8625   34.3747  -558400
AndromedaXV         0    99.9  99.9  0     9.99  9.99    1.21   0.05   0.05    0      18.575    38.1175  -323000
AndromedaII        34     6     6    0.2   0.08  0.08    6.2    0.2    0.2     0      19.1208   33.4192  -192400
