,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,M_V,dist_kpc,M_dyn,M_*,vh_(km/s)_err,vsig_s_upper_limit,vsig_s_err,vh(km/s)_err,orb_pericenter,orb_apocenter,orb_eccentricity,orb_period,orb_period_type,orb_pericenter_0.8,orb_apocenter_0.8,orb_eccentricity_0.8,tau_50,tau_90,dist_pc,dist_mpc,Radius,gal_interference_min,gal_interference_max,Galactic Interference Range,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,HRU,GNV,HNV,LIT,1sigma_GUU,1sigma_GRU,1sigma_HUU,1sigma_HRU,1sigma_GNV,1sigma_HNV,M_star,M_dyn_r_h,Other names,Morphology,vsig_s_ref,vsig_err_pos_ref,vsig_err_neg_ref,M_V_ref,rh(')_ref,vh(km/s)_ref,refs,r_ell_x,ell_surf_dist_x,mw_dist_x,m31_dist_x,ell_surf_log10_abs,min_dist_mw_or_m31,Closer_MW_M31,r_ell_y,ell_surf_dist_y,mw_dist_y,m31_dist_y,mw_dist_x,m31_dist_x,r_ell_x,ell_surf_dist_x,r_ell_y,ell_surf_dist_y,mw_dist_y,m31_dist_y,r_ell,ell_surf_dist,mw_dist,m31_dist
0,SagittariusdSph,18.0,55.0,19.5,-30.0,32.0,43.0,0.153,17.1,0.15,0.15,140.0,3.6,0.3,0.3,102.0,0.64,25.2,17.0,12.0,12.0,11.4,0.7,0.7,0.0,0.0,0.0,0.0,x,u,00.0,0.0,0.0,0.0,,17.1,"(I don’t understand where the limit in GP or Mateo is from, Spekkens has <7880 from GASS, K94 has <10000) SKIP THERE ARE DEEPER LIMITS FOR THE CORE ",,,0.0,26.302679918953842,,,,,,,,,,,,,,,,,26302.679918953843,0.026302679918953843,2616.6872321379433,,,,122.45408185265198,HI4PI,upper_limit,0.025,,hi4pi_unresolved_undetected,,,,122.45408185265198,,,,,,,0.025,,,,21,190,,dSph,True,,,True,True,True,,480.503457821674,-211.75692827477158,18.587575790781678,786.9893232008902,,,,480.503457821674,-211.75692827477158,18.587575790781678,786.9893232008902,18.587575790781678,786.9893232008902,480.503457821674,-211.75692827477158,480.503457821674,-211.75692827477158,18.587575790781678,786.9893232008902,480.503457821674,-211.75692827477158,18.587575790781678,786.9893232008902
1,TucanaIII,23.0,56.0,36.0,-59.0,36.0,0.0,9.999,17.01,0.16,0.16,-102.0,14.6,0.4,0.4,999.9,9.99,99.9,90.0,0.8,0.6,0.1,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.01,"- Simon et al. 2017 V_hel = -102 km/s, velocity dispersion of 0.1 km/s, D=25 kpc",,,-2.45,25.234807724805755,,,,1.2,,,2.0,33,0.86,0.7,value,3.0,47,0.89,,,25234.807724805756,0.025234807724805755,44.04300671917229,,,,91.89114490090122,HI4PI,upper_limit,0.0203817,6.0,hi4pi_unresolved_undetected,,,,91.89114490090122,,,,,,,0.0203817,,,,,,,,True,,,True,True,True,,478.610426143024,-208.30470891633556,23.298940712126683,783.8326858955156,,,,478.610426143024,-208.30470891633556,23.298940712126683,783.8326858955156,23.298940712126683,783.8326858955156,478.610426143024,-208.30470891633556,478.610426143024,-208.30470891633556,23.298940712126683,783.8326858955156,478.610426143024,-208.30470891633556,23.298940712126683,783.8326858955156
2,DracoII,15.0,52.0,47.6,64.0,33.0,55.0,0.016,16.9,0.3,0.3,-381.7,14.0,0.8,0.8,70.0,0.24,99.9,16.0,1.0,0.8,<3.4,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,16.9,"- Martin et al. 2016 V_hel -347 km/s, dispersion of 2.9 km/s, (9 stars)",,,-1.6,23.988329190194897,,,,,,,19.0,62,0.53,,,20.0,262,0.86,,,23988.329190194898,0.023988329190194897,18.840371991426434,,,,70.60196425864088,HI4PI,upper_limit,0.017329400000000002,2.7,hi4pi_unresolved_undetected,,,,70.60196425864088,,,,,,,0.017329400000000002,,,,,,,,True,,,True,True,True,,464.95900817697344,-213.92402692582775,26.12657612171909,770.2616026885107,,,,464.95900817697344,-213.92402692582775,26.12657612171909,770.2616026885107,26.12657612171909,770.2616026885107,464.95900817697344,-213.92402692582775,464.95900817697344,-213.92402692582775,26.12657612171909,770.2616026885107,464.95900817697344,-213.92402692582775,26.12657612171909,770.2616026885107
3,Segue(I),10.0,7.0,4.0,16.0,4.0,55.0,0.031,16.8,0.2,0.2,-40.2,15.3,0.8,0.8,85.0,0.48,27.6,40.0,1.2,0.6,<2.2,0.8,0.8,0.0,0.0,0.0,1.67,gs,u,00.0,0.0,0.0,0.0,,16.8,"148+18s.mir stdev (0.04K/9.1K/Jy)*5 = 0.02 Jy limit  (from standard sqrt(.74/9.6) would have expected something more like 0.02K, it looks like the scan artifacts have probably caused this, emphasizes importance of checking each.  yes the baseline is really nasty, but it also looks like a 0.2K would stick out easily)  Spekkens quotes 5.5 mJy (5 sigma) so hers is much deeper, all of them look like they would be much deeper…. in theory should reach the alfalfa level of 2 mJy (1 sigma) in some regions of DR1.   Ah but she is using 15 km/s smooth (and width).  I get a segue mass limit of 25 with 0.02*10*.236*23^2 so factor of 10 on GP.   Probably stick with my method and just footnote Spekkens limit in table or text  I DON’T KNOW I THINK WHEN DEEPER WITH HER PAPER JUST ADOPT THAT",,,-1.98,22.90867652767775,,,,,,,,,,,,,,,,,22908.676527677748,0.022908676527677748,29.320973520989625,,,,46.65675611252086,GALFA-HI,upper_limit,0.017123,,galfa_resolved_undetected,,,46.65675611252086,,,,,,,0.017123,,,,,0.00034,0.26,,dSph,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
4,Reticulum2,3.0,35.0,42.1,-54.0,2.0,57.0,9.999,17.4,0.2,0.2,64.0,14.7,0.1,0.1,71.0,0.59,99.9,19.0,0.21,0.12,3.4,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.4,"- Walker et al., Koposov et al. (2015), V_hel=64 km/s, dispersion 3.2-3.6 km/s, D=30 kpc",,,-1.1,30.19951720402013,,,,,,,,,,,,,,,,,30199.51720402013,0.03019951720402013,31.976217765292205,,,,132.74892698458365,HI4PI,upper_limit,0.0205588,3.64,hi4pi_unresolved_undetected,,,,132.74892698458365,,,,,,,0.0205588,,,,,,,,True,,,True,True,True,,483.3324150913263,-200.00245088360666,31.610186130125467,785.9287546746663,,,,483.3324150913263,-200.00245088360666,31.610186130125467,785.9287546746663,31.610186130125467,785.9287546746663,483.3324150913263,-200.00245088360666,483.3324150913263,-200.00245088360666,31.610186130125467,785.9287546746663,483.3324150913263,-200.00245088360666,31.610186130125467,785.9287546746663
5,CetusII,1.0,17.0,52.8,-17.0,25.0,12.0,9.999,17.38,0.19,0.19,80.4,17.4,0.7,0.7,999.9,9.99,99.9,53.0,1.0,0.5,2.7,0.5,-0.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.38,NEW not seeing velocity ref for this one,,,-4.71,29.922646366081892,,,,,,,,,,,,,,,,,29922.64636608189,0.02992264636608189,16.537859965255063,-20.0,10.0,,126.78365080182249,HI4PI,upper_limit,0.02,1.9,hi4pi_no_velocity,,,,,,,126.78365080182249,,,,,,,0.02,,,,,True,,,True,True,True,,459.4567703427804,-213.28865005682763,32.46457120677179,763.7548925235492,,,,459.4567703427804,-213.28865005682763,32.46457120677179,763.7548925235492,32.46457120677179,763.7548925235492,459.4567703427804,-213.28865005682763,459.4567703427804,-213.28865005682763,32.46457120677179,763.7548925235492,459.4567703427804,-213.28865005682763,32.46457120677179,763.7548925235492
6,TriangulumII,2.0,13.0,17.4,36.0,10.0,42.0,0.081,17.4,0.1,0.1,55.2,15.6,0.5,0.5,56.0,0.21,99.9,792.0,1.1,0.9,11.7,0.9,-0.9,99.9,99.9,99.9,2.2,gs,u,99.9,99.9,99.9,999.9,,17.4,"36+34s.mir  Martin et al. v_hel = -384 km/s, disp controversial?  DOUBLE CHECK LIMIT from -650 to 650 km/s looks like GIZ is -80 to 30 km/s, not seeing anything in spectrum, stdev is pretty uniform 0.11K  (is the noise higher here because of the declination and stray, see what others have) (nice little group at 550-600 km/s)  (0.11K/9.1K/Jy) *5 = 0.06 Jy",,,-13.34,30.19951720402013,,,,3.4,,,16.0,92,0.71,10.0,lower_limit,19.0,415,0.91,,,30199.51720402013,0.03019951720402013,34.26023331995593,,,,121.39229076162876,HI4PI,upper_limit,0.0188,,hi4pi_unresolved_undetected,,,157.96494687194073,121.39229076162876,,,,,,0.03336,0.0188,,,,,,,,True,,,True,True,True,,443.5932025254233,-227.0856212001577,36.41756690401115,750.3912269210847,,,,443.5932025254233,-227.0856212001577,36.41756690401115,750.3912269210847,36.41756690401115,750.3912269210847,443.5932025254233,-227.0856212001577,443.5932025254233,-227.0856212001577,36.41756690401115,750.3912269210847,443.5932025254233,-227.0856212001577,36.41756690401115,750.3912269210847
7,UrsaMajorII,8.0,51.0,30.0,63.0,7.0,48.0,0.094,17.5,0.3,0.3,112.8,13.3,0.5,0.5,98.0,0.63,27.9,40.0,1.0,1.0,4.9,2.8,-0.9,0.0,0.0,0.0,0.0,x,u,00.0,0.0,0.0,0.0,,17.5,"130.0  60.0 CAR CAR_H07.fits stdev 0.02K, if back out is correct * 0.6 Jy/K = 0.012 Jy * 5 = 0.06 Jy for mass 0.06*10*.236*32^2 = 145 Msun  E 130.0 60.0 CAR CAR_D07.fit 0.05K  imstat gives a similar rms, back out gibes 0.05 K * 0.26 Jy/K = 0.013 Jy",,,-3.76,31.622776601683793,,,,,,,38.0,65,0.26,3.5,value,39.0,196,0.67,,,31622.776601683792,0.03162277660168379,147.17894716804327,,,,93.57211199999998,HI4PI,upper_limit,0.0132164,6.0,hi4pi_resolved_undetected,25.0,,,,93.57211199999998,,,,,,,0.0132164,,,0.0041,3.9,,dSph,True,,,True,True,True,,465.19390854877287,-205.00631443500924,37.78371882720685,766.6608801849444,,,,465.19390854877287,-205.00631443500924,37.78371882720685,766.6608801849444,37.78371882720685,766.6608801849444,465.19390854877287,-205.00631443500924,465.19390854877287,-205.00631443500924,37.78371882720685,766.6608801849444,465.19390854877287,-205.00631443500924,37.78371882720685,766.6608801849444
8,BootesII,13.0,58.0,0.0,12.0,51.0,0.0,0.031,18.1,0.06,0.06,-117.0,15.4,0.9,0.9,145.0,0.21,28.1,44.0,1.4,1.4,10.5,7.4,7.4,99.9,99.9,99.9,2.26,gs,u,00.0,0.0,0.0,0.0,,18.1,212+10s.mir stdev 0.08K (rounded up),,,-1.56,41.686938347033546,,,,,,,38.0,167,0.63,10.0,lower_limit,39.0,17206,0.996,,,41686.938347033545,0.04168693834703355,50.9301552054515,,,,182.12243050936553,GALFA-HI,upper_limit,0.020184999999999998,,galfa_resolved_undetected,,,182.12243050936553,,,,,,,0.020184999999999998,,,,,0.0010,3.3,,dSph,True,,,True,True,True,,500.9523037139867,-190.65136458646148,39.511366489899395,802.5597583566357,,,,500.9523037139867,-190.65136458646148,39.511366489899395,802.5597583566357,39.511366489899395,802.5597583566357,500.9523037139867,-190.65136458646148,500.9523037139867,-190.65136458646148,39.511366489899395,802.5597583566357,500.9523037139867,-190.65136458646148,39.511366489899395,802.5597583566357
9,SegueII,2.0,19.0,16.0,20.0,10.0,31.0,0.185,17.7,0.1,0.1,62.8,15.2,0.3,0.3,182.0,0.15,27.4,51.0,0.2,0.2,3.3,0.7,-0.7,99.9,99.9,99.9,2.09,gs,u,99.9,99.9,99.9,999.9,,17.7,"36+18s.mir stdev 0.07K, could get lower with a USM here, get 0.18K in unsmoothed so I think would have expected 0.05K with factor above",,,-3.99,34.673685045253166,,,,,,,,,,,,,,,,,34673.685045253165,0.034673685045253165,34.29293263147721,,,,269.0369643093985,GALFA-HI,upper_limit,0.0431,,galfa_resolved_undetected,,,269.0369643093985,,,,,,,0.0431,,,,,0.00086,0.23,,dSph,True,,,True,True,True,,443.5888214313461,-222.1525043146512,40.6163173951129,748.9807761554375,,,,443.5888214313461,-222.1525043146512,40.6163173951129,748.9807761554375,40.6163173951129,748.9807761554375,443.5888214313461,-222.1525043146512,443.5888214313461,-222.1525043146512,40.6163173951129,748.9807761554375,443.5888214313461,-222.1525043146512,40.6163173951129,748.9807761554375
