id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,mw_dist,m31_dist,r_ell,ell_surf_dist
2,SagittariusdSph,18,55,19.5,-30,32,43,0.153,17.1,0.15,140.0,3.6,0.3,102.0,0.64,25.2,342.0,12.0,12.0,11.4,0.7,0.0,0.0,0.0,x,u,0.0,0.0,0.0,"(I don’t understand where the limit in GP or Mateo is from, Spekkens has <7880 from GASS, K94 has <10000) SKIP THERE ARE DEEPER LIMITS FOR THE CORE",26.302679918953842,,,,,use lit.,18.422410659855245,786.9893232008902,458.15294544765044,-251.95276258520218
3,TucanaIII,23,56,36.0,-59,36,0,9.999,17.01,0.16,-102.0,14.6,0.4,999.9,9.99,99.9,6.0,0.8,0.6,0.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Simon et al. 2017 V_hel = -102 km/s, velocity dispersion of 0.1 km/s, D=25 kpc",25.234807724805755,91.89114490090122,hi4pi,upper_limit,0.0203817,ok,23.286454074572276,783.8326858955157,456.64753927606586,-247.7271120715122
4,DracoII,15,52,47.6,64,33,55,0.016,16.9,0.3,-347.0,14.0,0.8,70.0,0.24,99.9,2.7,1.0,0.8,2.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Martin et al. 2016 V_hel -347 km/s, dispersion of 2.9 km/s, (9 stars)",23.988329190194897,70.60196425864088,hi4pi,upper_limit,0.0173294,ok,26.199691455978176,770.261602688511,442.9946820648218,-251.6817525484683
5,Segue(I),10,7,4.0,16,4,55,0.031,16.8,0.2,208.5,15.3,0.8,85.0,0.48,27.6,4.4,1.2,0.6,3.9,0.8,0.0,0.0,,gs,u,0.0,0.0,0.0,"148+18s.mir stdev (0.04K/9.1K/Jy)*5 = 0.02 Jy limit  (from standard sqrt(.74/9.6) would have expected something more like 0.02K, it looks like the scan artifacts have probably caused this, emphasizes importance of checking each.  yes the baseline is really nasty, but it also looks like a 0.2K would stick out easily)  Spekkens quotes 5.5 mJy (5 sigma) so hers is much deeper, all of them look like they would be much deeper…. in theory should reach the alfalfa level of 2 mJy (1 sigma) in some regions of DR1.   Ah but she is using 15 km/s smooth (and width).  I get a segue mass limit of 25 with 0.02*10*.236*23^2 so factor of 10 on GP.   Probably stick with my method and just footnote Spekkens limit in table or text  I DON’T KNOW I THINK WHEN DEEPER WITH HER PAPER JUST ADOPT THAT",22.90867652767775,,,upper_limit,0.017123,ok,27.892321264551313,787.9720949392585,462.35633730666996,-242.59352245286604
6,Reticulum2,3,35,42.1,-54,2,57,9.999,17.4,0.2,64.0,14.7,0.1,71.0,0.59,99.9,3.64,0.21,0.12,3.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Walker et al., Koposov et al. (2015), V_hel=64 km/s, dispersion 3.2-3.6 km/s, D=30 kpc",30.19951720402013,132.74892698458365,hi4pi,upper_limit,0.0205588,ok,31.663735894087903,785.9287546746662,462.1219412447442,-239.23978963295104
7,CetusII,1,17,52.8,-17,25,12,9.999,17.38,0.19,999.9,17.4,0.7,999.9,9.99,99.9,1.9,1.0,0.5,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,NEW not seeing velocity ref for this one,29.922646366081892,126.78365080182249,hi4pi,upper_limit,0.02,no velocity,32.540763174908435,763.7548925235491,437.7741942686651,-250.16988323599983
8,TriangulumII,2,13,17.4,36,10,42,0.081,17.4,0.1,-384.0,15.6,0.5,56.0,0.21,99.9,3.9,1.1,0.9,99.9,99.9,99.9,99.9,,gs,u,99.9,99.9,999.9,"36+34s.mir  Martin et al. v_hel = -384 km/s, disp controversial?  DOUBLE CHECK LIMIT from -650 to 650 km/s looks like GIZ is -80 to 30 km/s, not seeing anything in spectrum, stdev is pretty uniform 0.11K  (is the noise higher here because of the declination and stray, see what others have) (nice little group at 550-600 km/s)  (0.11K/9.1K/Jy) *5 = 0.06 Jy",30.19951720402013,,,upper_limit,0.03336,"check HI4PI, otherwise ok",36.56220340940852,750.3912269210848,421.2430025988717,-262.7279019155023
9,UrsaMajorII,8,51,30.0,63,7,48,0.094,17.5,0.3,-116.5,13.3,0.5,98.0,0.63,27.9,16.0,1.0,1.0,6.7,1.4,0.0,0.0,0.0,x,u,0.0,0.0,0.0,"130.0  60.0 CAR CAR_H07.fits stdev 0.02K, if back out is correct * 0.6 Jy/K = 0.012 Jy * 5 = 0.06 Jy for mass 0.06*10*.236*32^2 = 145 Msun  E 130.0 60.0 CAR CAR_D07.fit 0.05K  imstat gives a similar rms, back out gibes 0.05 K * 0.26 Jy/K = 0.013 Jy",31.622776601683793,2339.3027999999995,hi4pi,upper_limit,0.33041,"josh method, needs fixing by dividing by area in Amalia code",37.927011534899634,766.6608801849446,444.3388633406077,-241.82439108777987
10,BootesII,13,58,0.0,12,51,0,0.031,18.1,0.06,-117.0,15.4,0.9,145.0,0.21,28.1,4.2,1.4,1.4,10.5,7.4,99.9,99.9,,gs,u,0.0,0.0,0.0,212+10s.mir stdev 0.08K (rounded up),41.686938347033546,,,upper_limit,0.020185,"images missing, does have velocity",39.48105872953528,802.559758356636,479.9778007875339,-231.90077004651405
11,SegueII,2,19,16.0,20,10,31,0.185,17.7,0.1,-39.2,15.2,0.3,182.0,0.15,27.4,3.4,0.2,0.2,3.4,2.5,99.9,99.9,,gs,u,99.9,99.9,999.9,"36+18s.mir stdev 0.07K, could get lower with a USM here, get 0.18K in unsmoothed so I think would have expected 0.05K with factor above",34.673685045253166,,,upper_limit,0.019513,"images missing, does have velocity",40.754977813395826,748.9807761554376,421.6378509041131,-257.4667552653609
12,Willman1,10,49,21.0,51,3,0,0.014,17.9,0.4,-12.3,15.2,0.7,77.0,0.47,26.1,2.3,0.4,0.4,4.3,2.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,38.01893963205608,198.28331740886063,hi4pi,upper_limit,0.0193755,1/2 off cube. Check cube H09,42.8508965203957,776.2304984992603,458.44372923133585,-231.58949971603823
13,ComaBerenices,12,26,59.0,23,54,15,0.017,18.2,0.2,98.1,14.1,0.5,115.0,0.38,27.3,6.0,0.6,0.6,4.6,0.8,0.0,0.0,,gs,u,0.0,0.0,0.0,"188+26s.mir stdev 0.04K so same limit of 0.02 Jy (towards edge, but looks clear, same with baseline but 0.2K source would be booming) 0.02*10*.236*44^2 = 100 Msun",43.65158322401656,,,upper_limit,0.0125446,ok for hi4pi value,44.8591876951668,798.2429702735473,480.10940524594173,-225.55682230328642
14,TucanaIV,0,2,55.2,-60,51,0,9.999,18.41,0.19,999.9,14.9,0.3,11.0,0.4,99.9,9.1,1.7,1.4,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing anything for this one,48.08393484497285,163.69418714443208,hi4pi,upper_limit,0.01,no velocity,45.567704740700734,789.3892806591396,473.2319402809006,-225.27586004614594
15,BootesIII,13,57,12.0,26,48,0,0.021,18.35,0.1,197.5,12.6,0.5,90.0,0.5,31.3,99.99,9.99,9.99,14.0,3.2,99.9,99.9,99.9,x,u,99.9,99.9,999.9,212+26s.mir stdev 0.04K again so 0.02 Jy,46.77351412871986,17.091379999999997,galfa,upper_limit,0.0379234,"pull hi4pi value, missing rh - huge, prob part of styx stream (Carlin & Sand 2018), quote core limit",45.788988891523935,796.0456457642612,479.00435590163625,-224.55686573329479
16,GrusII,22,4,4.8,-46,26,24,9.999,18.62,0.21,999.9,14.7,0.2,999.9,9.99,99.9,6.0,0.9,0.5,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing one,52.966344389165805,397.24940313396297,hi4pi,upper_limit,0.02,no velocity,48.36965635432141,784.2695078691785,470.3973270812926,-223.62637046967814
17,LMC,5,23,34.5,-69,45,22,0.9259999999999999,18.52,0.09,262.2,0.4,0.1,999.9,9.99,99.9,99.99,9.99,9.99,20.2,0.5,49.8,15.9,460.0,x,u,15.8,0.2,63.0,,50.58246620031137,460000000.0,various,detected_mass,,,50.21223151562807,806.377038985792,489.5553348157911,-221.0290717293506
