id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,r_ell_m1.2_rs15,ell_surf_dist_m1.2_rs15,r_ell_m1.0_rs20,ell_surf_dist_m1.0_rs20,r_ell_m1.5_rs15,ell_surf_dist_m1.5_rs15,r_ell_m1.0_rs25,ell_surf_dist_m1.0_rs25,r_ell_m1.0_rs15,ell_surf_dist_m1.0_rs15,r_ell_m1.5_rs20,ell_surf_dist_m1.5_rs20,r_ell_m1.5_rs25,ell_surf_dist_m1.5_rs25,r_ell_m1.2_rs25,ell_surf_dist_m1.2_rs25,r_ell_m1.2_rs20,ell_surf_dist_m1.2_rs20,mw_dist,m31_dist,r_per,r_per_err,r_apo,r_apo_err,rho_cgm_est,rho_cgm_est_err
2,SagittariusdSph,18,55,19.5,-30,32,43,0.153,17.1,0.15,140.0,3.6,0.3,102.0,0.64,25.2,342.0,12.0,12.0,11.4,0.7,0.0,0.0,0.0,x,u,0.0,0.0,0.0,"(I don’t understand where the limit in GP or Mateo is from, Spekkens has <7880 from GASS, K94 has <10000) SKIP THERE ARE DEEPER LIMITS FOR THE CORE",26.302679918953842,,,,,use lit.,488.0433965710975,-237.41414153784083,527.6215052325535,-198.53714573101234,453.9301710288874,-254.51502546265678,527.4686981132297,-187.21002945082336,527.8347075210104,-210.45902705045475,453.63724825056227,-249.94327071031157,453.4275769603614,-245.6461619646009,487.60281685075995,-223.35161333854958,487.7866582231998,-230.1623745574021,18.422410659855256,786.9893232008902,15.806114857444356,1.5842488963459,66.50062147981868,17.27142701244313,0.0005553247054122609,0.00021491064177837663
3,TucanaIII,23,56,36.0,-59,36,0,9.999,17.01,0.16,-102.0,14.6,0.4,999.9,9.99,99.9,6.0,0.8,0.6,0.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Simon et al. 2017 V_hel = -102 km/s, velocity dispersion of 0.1 km/s, D=25 kpc",25.234807724805755,91.89114490090122,hi4pi,upper_limit,0.0203817,ok,486.38469340031827,-233.38252820611515,525.5732099910255,-195.4381391484115,452.4784487345969,-250.24084652144688,525.317566957143,-184.57826653140881,525.9298088285133,-206.9282811037519,451.9886725975877,-245.85207247619178,451.6379638216488,-241.7340174035358,485.64781735264563,-219.82908686660943,485.9553496702028,-226.3839186742353,23.286454074572276,783.8326858955157,2.29824383057094,0.3049003983441271,38.58967077344718,1.9038900578141555,3.1288143147396267e-07,1.2409424071329534e-07
4,DracoII,15,52,47.6,64,33,55,0.016,16.9,0.3,-347.0,14.0,0.8,70.0,0.24,99.9,2.7,1.0,0.8,2.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Martin et al. 2016 V_hel -347 km/s, dispersion of 2.9 km/s, (9 stars)",23.988329190194897,70.60196425864088,hi4pi,upper_limit,0.0173294,ok,472.73223915267727,-237.8599267381426,511.9362339136448,-202.07409061330807,438.8240985092201,-254.06049092981752,511.6869919179863,-192.12373627983922,512.283903694919,-212.6298557535892,438.34450075901196,-250.16905205018594,438.0010772146529,-246.51343116395938,472.012242172767,-225.54594666322063,472.31273078351654,-231.49835462298202,26.199691455978144,770.261602688511,19.91479943224804,1.2200112059158732,142.52008346103443,51.12486278871898,6.2488059825693155e-06,2.55341021970315e-06
5,Segue(I),10,7,4.0,16,4,55,0.031,16.8,0.2,208.5,15.3,0.8,85.0,0.48,27.6,4.4,1.2,0.6,3.9,0.8,0.0,0.0,,gs,u,0.0,0.0,0.0,"148+18s.mir stdev (0.04K/9.1K/Jy)*5 = 0.02 Jy limit  (from standard sqrt(.74/9.6) would have expected something more like 0.02K, it looks like the scan artifacts have probably caused this, emphasizes importance of checking each.  yes the baseline is really nasty, but it also looks like a 0.2K would stick out easily)  Spekkens quotes 5.5 mJy (5 sigma) so hers is much deeper, all of them look like they would be much deeper…. in theory should reach the alfalfa level of 2 mJy (1 sigma) in some regions of DR1.   Ah but she is using 15 km/s smooth (and width).  I get a segue mass limit of 25 with 0.02*10*.236*23^2 so factor of 10 on GP.   Probably stick with my method and just footnote Spekkens limit in table or text  I DON’T KNOW I THINK WHEN DEEPER WITH HER PAPER JUST ADOPT THAT",22.90867652767775,,,upper_limit,0.017123,ok,491.9524018370414,-228.13743600894517,530.7735025239293,-189.81568851356016,458.2374091594594,-245.1372990726821,530.4194477591873,-178.84499104353807,531.2672700375175,-201.45140822639763,457.560915364871,-240.63987083624974,457.07634145665304,-236.42684772267435,490.9332344963387,-214.34910622704282,491.35864908923566,-221.0124112563748,27.892321264551324,787.9720949392585,19.90983057390808,4.751757950776495,60.68875172273894,33.75563248713807,1.6154477350464855e-05,6.644614857475107e-06
6,Reticulum2,3,35,42.1,-54,2,57,9.999,17.4,0.2,64.0,14.7,0.1,71.0,0.59,99.9,3.64,0.21,0.12,3.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Walker et al., Koposov et al. (2015), V_hel=64 km/s, dispersion 3.2-3.6 km/s, D=30 kpc",30.19951720402013,132.74892698458365,hi4pi,upper_limit,0.0205588,ok,491.55190108965706,-224.9174748807066,529.948149714991,-187.2353829428034,458.0612474196025,-241.75014500850952,529.4815146068192,-176.57987627840177,530.5987564606451,-198.5762183195202,457.17057646614427,-237.37870835051223,456.5323296634465,-233.2889800554533,490.20936077735763,-211.47929554715344,490.7698636843048,-217.9667705910556,31.663735894087907,785.9287546746662,27.693032714900696,2.815109937028125,67.1598336658806,18.724025700307816,1.5040334044098345e-05,5.646079972910067e-06
7,CetusII,1,17,52.8,-17,25,12,9.999,17.38,0.19,999.9,17.4,0.7,999.9,9.99,99.9,1.9,1.0,0.5,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,NEW not seeing velocity ref for this one,29.922646366081892,126.78365080182249,hi4pi,upper_limit,0.02,no velocity,467.38672555518974,-236.62926638973883,506.2845901996631,-202.04773769634477,433.6462450479143,-252.47700705066165,505.95639704037245,-192.63059370929247,506.74230122357795,-212.07321196330994,433.01417772111,-248.8496518377999,432.5614338851028,-245.44328275624912,466.4382379700888,-224.99530218235037,466.8341449586674,-230.6138775720583,32.5407631749084,763.7548925235491,,,,,,
8,TriangulumII,2,13,17.4,36,10,42,0.081,17.4,0.1,-384.0,15.6,0.5,56.0,0.21,99.9,3.9,1.1,0.9,99.9,99.9,99.9,99.9,,gs,u,99.9,99.9,999.9,"36+34s.mir  Martin et al. v_hel = -384 km/s, disp controversial?  DOUBLE CHECK LIMIT from -650 to 650 km/s looks like GIZ is -80 to 30 km/s, not seeing anything in spectrum, stdev is pretty uniform 0.11K  (is the noise higher here because of the declination and stray, see what others have) (nice little group at 550-600 km/s)  (0.11K/9.1K/Jy) *5 = 0.06 Jy",30.19951720402013,,,upper_limit,0.03336,"check HI4PI, otherwise ok",451.151520968084,-249.57366775228988,490.7975303005352,-216.40080373309317,417.0118530018977,-264.9334458706251,490.66613072590957,-207.48871417119813,490.98086877549775,-225.853586976937,416.75680526153576,-261.6720385695234,416.57424984160684,-258.59368365392015,450.7702945583618,-238.7797982364856,450.9293668055972,-244.00111612237092,36.56220340940846,750.3912269210848,21.280128235407787,8.572186842834045,214.97295882901608,65.72925303048038,7.68404767286993e-06,3.226785936588063e-06
9,UrsaMajorII,8,51,30.0,63,7,48,0.094,17.5,0.3,-116.5,13.3,0.5,98.0,0.63,27.9,16.0,1.0,1.0,6.7,1.4,0.0,0.0,0.0,x,u,0.0,0.0,0.0,"130.0  60.0 CAR CAR_H07.fits stdev 0.02K, if back out is correct * 0.6 Jy/K = 0.012 Jy * 5 = 0.06 Jy for mass 0.06*10*.236*32^2 = 145 Msun  E 130.0 60.0 CAR CAR_D07.fit 0.05K  imstat gives a similar rms, back out gibes 0.05 K * 0.26 Jy/K = 0.013 Jy",31.622776601683793,2339.3027999999995,hi4pi,upper_limit,0.33041,"josh method, needs fixing by dividing by area in Amalia code",473.6121996974781,-228.26602455566754,511.64941499203746,-193.74286124403616,440.3290822394469,-244.1380292730075,511.09429927261993,-184.41711717985348,512.4231967674095,-203.71663767968707,439.264774992852,-240.49070884980318,438.50179100416375,-237.07545213035863,472.0114785100067,-216.63902068836435,472.67989712072125,-222.24556946535296,37.92701153489961,766.6608801849446,39.134221914193205,2.941524380223643,161.65933986599546,90.47086824605069,5.187280894638359e-05,2.1034550316507983e-05
10,BootesII,13,58,0.0,12,51,0,0.031,18.1,0.06,-117.0,15.4,0.9,145.0,0.21,28.1,4.2,1.4,1.4,10.5,7.4,99.9,99.9,,gs,u,0.0,0.0,0.0,212+10s.mir stdev 0.08K (rounded up),41.686938347033546,,,upper_limit,0.020185,"images missing, does have velocity",509.31410470264956,-216.9459086024515,547.4330379147643,-176.6919791524252,475.95347513291875,-234.5758634342373,546.8867818013644,-164.99359695388603,548.1945495086103,-189.13494443257295,474.91685857953064,-229.59554239133035,474.1738788678942,-224.94370005253063,507.7470751590579,-202.0145798656362,508.4013670819314,-209.22360203999315,39.481058729535306,802.559758356636,39.05150263975209,1.7903499608640863,818.7637477491533,476.8787570705926,3.776281957242331e-05,2.0986300564114455e-05
11,SegueII,2,19,16.0,20,10,31,0.185,17.7,0.1,-39.2,15.2,0.3,182.0,0.15,27.4,3.4,0.2,0.2,3.4,2.5,99.9,99.9,,gs,u,99.9,99.9,999.9,"36+18s.mir stdev 0.07K, could get lower with a USM here, get 0.18K in unsmoothed so I think would have expected 0.05K with factor above",34.673685045253166,,,upper_limit,0.019513,"images missing, does have velocity",451.3707444863056,-244.42132552940305,490.58653809440625,-211.77301572972536,417.46671087499914,-259.64571104685047,490.34413864963926,-203.12352962929882,490.92466021315096,-220.9835222739266,416.9968585088444,-256.4834562526298,416.66040387529125,-253.50334293205782,450.66794982037374,-233.91042243533457,450.9612620036662,-238.9888109896213,40.75497781339577,748.9807761554376,35.03780029402667,5.337452791978089,70.76685946829977,29.086451596132186,1.8190383955167824e-05,7.408103747912118e-06
