,GalaxyName,RA_hr,RA_min,RA_sec,Dec_hr,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,dist_pc,dist_kpc,dist_mpc,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,GNV,HNV,LIT,HRU
0,#TheGalaxy,17.0,45.0,40.0,-29.0,0.0,28.0,9.999,99.99,9.99,9.99,999.9,99.9,9.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,,,,,9.954054173515214e+20,9.954054173515214e+17,995405417351521.4,,,,,,,,,,,,,,
1,#*CanisMajor,7.0,12.0,35.0,-27.0,40.0,0.0,0.264,14.29,0.3,0.3,87.0,-0.1,0.8,0.8,123.0,9.99,24.0,99.99,9.99,9.99,20.0,3.0,3.0,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,,,,,7211.07479182899,7.21107479182899,0.00721107479182899,,,,,,,,,,,,,,
2,SagittariusdSph,18.0,55.0,19.5,-30.0,32.0,43.0,0.153,17.1,0.15,0.15,140.0,3.6,0.3,0.3,102.0,0.64,25.2,342.0,12.0,12.0,11.4,0.7,0.7,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,17.1,"(I don’t understand where the limit in GP or Mateo is from, Spekkens has <7880 from GASS, K94 has <10000) SKIP THERE ARE DEEPER LIMITS FOR THE CORE ",,,26302.679918953843,26.302679918953842,0.026302679918953843,,,,,,,,,,,,,,
3,TucanaIII,23.0,56.0,36.0,-59.0,36.0,0.0,9.999,17.01,0.16,0.16,-102.0,14.6,0.4,0.4,999.9,9.99,99.9,6.0,0.8,0.6,0.1,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.01,"- Simon et al. 2017 V_hel = -102 km/s, velocity dispersion of 0.1 km/s, D=25 kpc",,,25234.807724805756,25.234807724805755,0.025234807724805755,91.89114490090122,hi4pi,upper_limit,0.0203817,6.0,hi4pi_unresolved_undetected,,,,91.89114490090122,,,,
4,DracoII,15.0,52.0,47.6,64.0,33.0,55.0,0.016,16.9,0.3,0.3,-347.0,14.0,0.8,0.8,70.0,0.24,99.9,2.7,1.0,0.8,2.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,16.9,"- Martin et al. 2016 V_hel -347 km/s, dispersion of 2.9 km/s, (9 stars)",,,23988.329190194898,23.988329190194897,0.023988329190194897,70.60196425864088,hi4pi,upper_limit,0.017329400000000002,2.7,hi4pi_unresolved_undetected,,,,70.60196425864088,,,,
5,Segue(I),10.0,7.0,4.0,16.0,4.0,55.0,0.031,16.8,0.2,0.2,208.5,15.3,0.8,0.8,85.0,0.48,27.6,4.4,1.2,0.6,3.9,0.8,0.8,0.0,0.0,0.0,1.67,gs,u,0.0,0.0,0.0,0.0,,16.8,"148+18s.mir stdev (0.04K/9.1K/Jy)*5 = 0.02 Jy limit  (from standard sqrt(.74/9.6) would have expected something more like 0.02K, it looks like the scan artifacts have probably caused this, emphasizes importance of checking each.  yes the baseline is really nasty, but it also looks like a 0.2K would stick out easily)  Spekkens quotes 5.5 mJy (5 sigma) so hers is much deeper, all of them look like they would be much deeper…. in theory should reach the alfalfa level of 2 mJy (1 sigma) in some regions of DR1.   Ah but she is using 15 km/s smooth (and width).  I get a segue mass limit of 25 with 0.02*10*.236*23^2 so factor of 10 on GP.   Probably stick with my method and just footnote Spekkens limit in table or text  I DON’T KNOW I THINK WHEN DEEPER WITH HER PAPER JUST ADOPT THAT",,,22908.676527677748,22.90867652767775,0.022908676527677748,46.65675611252086,galfa,upper_limit,0.017123,,galfa_resolved_undetected,,,46.65675611252086,,,,,
6,Reticulum2,3.0,35.0,42.1,-54.0,2.0,57.0,9.999,17.4,0.2,0.2,64.0,14.7,0.1,0.1,71.0,0.59,99.9,3.64,0.21,0.12,3.4,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.4,"- Walker et al., Koposov et al. (2015), V_hel=64 km/s, dispersion 3.2-3.6 km/s, D=30 kpc",,,30199.51720402013,30.19951720402013,0.03019951720402013,132.74892698458365,hi4pi,upper_limit,0.0205588,3.64,hi4pi_unresolved_undetected,,,,132.74892698458365,,,,
7,CetusII,1.0,17.0,52.8,-17.0,25.0,12.0,9.999,17.38,0.19,0.19,999.9,17.4,0.7,0.7,999.9,9.99,99.9,1.9,1.0,0.5,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,17.38,NEW not seeing velocity ref for this one,,,29922.64636608189,29.922646366081892,0.02992264636608189,126.78365080182249,hi4pi,upper_limit,0.02,1.9,hi4pi_no_velocity,,,,,,126.78365080182249,,
8,TriangulumII,2.0,13.0,17.4,36.0,10.0,42.0,0.081,17.4,0.1,0.1,-384.0,15.6,0.5,0.5,56.0,0.21,99.9,3.9,1.1,0.9,99.9,99.9,99.9,99.9,99.9,99.9,2.2,gs,u,99.9,99.9,99.9,999.9,,17.4,"36+34s.mir  Martin et al. v_hel = -384 km/s, disp controversial?  DOUBLE CHECK LIMIT from -650 to 650 km/s looks like GIZ is -80 to 30 km/s, not seeing anything in spectrum, stdev is pretty uniform 0.11K  (is the noise higher here because of the declination and stray, see what others have) (nice little group at 550-600 km/s)  (0.11K/9.1K/Jy) *5 = 0.06 Jy",,,30199.51720402013,30.19951720402013,0.03019951720402013,157.96494687194073,galfa,upper_limit,0.03336,,galfa_resolved_undetected,,,157.96494687194073,,,,,
9,UrsaMajorII,8.0,51.0,30.0,63.0,7.0,48.0,0.094,17.5,0.3,0.3,-116.5,13.3,0.5,0.5,98.0,0.63,27.9,16.0,1.0,1.0,6.7,1.4,1.4,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,17.5,"130.0  60.0 CAR CAR_H07.fits stdev 0.02K, if back out is correct * 0.6 Jy/K = 0.012 Jy * 5 = 0.06 Jy for mass 0.06*10*.236*32^2 = 145 Msun  E 130.0 60.0 CAR CAR_D07.fit 0.05K  imstat gives a similar rms, back out gibes 0.05 K * 0.26 Jy/K = 0.013 Jy",,,31622.776601683792,31.622776601683793,0.03162277660168379,93.57211199999998,hi4pi,upper_limit,0.33041,6.0,hi4pi_resolved_undetected,25.0,,,,,,,93.57211199999998
