# 		      cubename        cra       cdec     min_ra     max_ra    min_dec    max_dec
GALFA_HI_RA+DEC_004.00+02.35_W       4.00       2.35      -0.26       8.26      -1.34       6.61
GALFA_HI_RA+DEC_004.00+10.35_W       4.00      10.35      -0.26       8.26       6.09      14.61
GALFA_HI_RA+DEC_004.00+18.35_W       4.00      18.35      -0.26       8.26      14.09      22.61
GALFA_HI_RA+DEC_004.00+26.35_W       4.00      26.35      -0.26       8.26      22.09      30.61
GALFA_HI_RA+DEC_004.00+34.35_W       4.00      34.35      -0.26       8.26      30.09      38.00
GALFA_HI_RA+DEC_012.00+02.35_W      12.00       2.35       7.74      16.26      -1.34       6.61
GALFA_HI_RA+DEC_012.00+10.35_W      12.00      10.35       7.74      16.26       6.09      14.61
GALFA_HI_RA+DEC_012.00+18.35_W      12.00      18.35       7.74      16.26      14.09      22.61
GALFA_HI_RA+DEC_012.00+26.35_W      12.00      26.35       7.74      16.26      22.09      30.61
GALFA_HI_RA+DEC_012.00+34.35_W      12.00      34.35       7.74      16.26      30.09      38.00
GALFA_HI_RA+DEC_020.00+02.35_W      20.00       2.35      15.74      24.26      -1.34       6.61
GALFA_HI_RA+DEC_020.00+10.35_W      20.00      10.35      15.74      24.26       6.09      14.61
GALFA_HI_RA+DEC_020.00+18.35_W      20.00      18.35      15.74      24.26      14.09      22.61
GALFA_HI_RA+DEC_020.00+26.35_W      20.00      26.35      15.74      24.26      22.09      30.61
GALFA_HI_RA+DEC_020.00+34.35_W      20.00      34.35      15.74      24.26      30.09      38.00
GALFA_HI_RA+DEC_028.00+02.35_W      28.00       2.35      23.74      32.26      -1.34       6.61
GALFA_HI_RA+DEC_028.00+10.35_W      28.00      10.35      23.74      32.26       6.09      14.61
GALFA_HI_RA+DEC_028.00+18.35_W      28.00      18.35      23.74      32.26      14.09      22.61
GALFA_HI_RA+DEC_028.00+26.35_W      28.00      26.35      23.74      32.26      22.09      30.61
GALFA_HI_RA+DEC_028.00+34.35_W      28.00      34.35      23.74      32.26      30.09      38.00
GALFA_HI_RA+DEC_036.00+02.35_W      36.00       2.35      31.74      40.26      -1.34       6.61
GALFA_HI_RA+DEC_036.00+10.35_W      36.00      10.35      31.74      40.26       6.09      14.61
GALFA_HI_RA+DEC_036.00+18.35_W      36.00      18.35      31.74      40.26      14.09      22.61
GALFA_HI_RA+DEC_036.00+26.35_W      36.00      26.35      31.74      40.26      22.09      30.61
GALFA_HI_RA+DEC_036.00+34.35_W      36.00      34.35      31.74      40.26      30.09      38.00
GALFA_HI_RA+DEC_044.00+02.35_W      44.00       2.35      39.74      48.26      -1.34       6.61
GALFA_HI_RA+DEC_044.00+10.35_W      44.00      10.35      39.74      48.26       6.09      14.61
GALFA_HI_RA+DEC_044.00+18.35_W      44.00      18.35      39.74      48.26      14.09      22.61
GALFA_HI_RA+DEC_044.00+26.35_W      44.00      26.35      39.74      48.26      22.09      30.61
GALFA_HI_RA+DEC_044.00+34.35_W      44.00      34.35      39.74      48.26      30.09      38.00
GALFA_HI_RA+DEC_052.00+02.35_W      52.00       2.35      47.74      56.26      -1.34       6.61
GALFA_HI_RA+DEC_052.00+10.35_W      52.00      10.35      47.74      56.26       6.09      14.61
GALFA_HI_RA+DEC_052.00+18.35_W      52.00      18.35      47.74      56.26      14.09      22.61
GALFA_HI_RA+DEC_052.00+26.35_W      52.00      26.35      47.74      56.26      22.09      30.61
GALFA_HI_RA+DEC_052.00+34.35_W      52.00      34.35      47.74      56.26      30.09      38.00
GALFA_HI_RA+DEC_060.00+02.35_W      60.00       2.35      55.74      64.26      -1.34       6.61
GALFA_HI_RA+DEC_060.00+10.35_W      60.00      10.35      55.74      64.26       6.09      14.61
GALFA_HI_RA+DEC_060.00+18.35_W      60.00      18.35      55.74      64.26      14.09      22.61
GALFA_HI_RA+DEC_060.00+26.35_W      60.00      26.35      55.74      64.26      22.09      30.61
GALFA_HI_RA+DEC_060.00+34.35_W      60.00      34.35      55.74      64.26      30.09      38.00
GALFA_HI_RA+DEC_068.00+02.35_W      68.00       2.35      63.74      72.26      -1.34       6.61
GALFA_HI_RA+DEC_068.00+10.35_W      68.00      10.35      63.74      72.26       6.09      14.61
GALFA_HI_RA+DEC_068.00+18.35_W      68.00      18.35      63.74      72.26      14.09      22.61
GALFA_HI_RA+DEC_068.00+26.35_W      68.00      26.35      63.74      72.26      22.09      30.61
