#GalaxyName       RA_h RA_m RA_s Dec_d Dec_m Dec_s     Dist  sig1 sig2    vh(km/s)  MHI	 
*CanisMajor       07   12   35.0 -27   40     0        14.29 0.30 0.30     87.0     99.9 
SagittariusdSph   18   55   19.5 -30   32    43        17.10 0.15 0.15    140.0     00.0 
*TucanaIII        23   56   36.0 -59   36    00        17.01 0.16 0.16   -102.0     99.9 
*DracoII          15   52   47.6 +64   33    55        16.90 0.30 0.30   -347.0     99.9 
Segue(I)          10    7    4.0  16    4    55        16.80 0.20 0.20    208.5     00.0 
*Reticulum2        3   35   42.1 -54    2    57        17.40 0.20 0.20     64.0     99.9 
*CetusII           1   17   52.8 -17   25    12        17.38 0.19 0.19    999.9     99.9 
*TriangulumII     02   13   17.4 +36   10    42        17.40 0.10 0.10   -384.0     99.9 
UrsaMajorII       08   51   30.0  63    7    48        17.50 0.30 0.30   -116.5     00.0 
BootesII          13   58    0.0  12   51     0        18.10 0.06 0.06   -117.0     00.0 
SegueII           02   19   16.0  20   10    31        17.70 0.10 0.10    -39.2     99.9
Willman1          10   49   21.0  51    3     0        17.90 0.40 0.40    -12.3     00.0 
ComaBerenices     12   26   59.0  23   54    15        18.20 0.20 0.20     98.1     00.0
*TucanaIV          0    2   55.2 -60   51    00        18.41 0.19 0.19    999.9     99.9 
*BootesIII        13   57   12.0  26   48     0        18.35 0.10 0.10    197.5     99.9 
*GrusII           22   04    4.8 -46   26    24        18.62 0.21 0.21    999.9     99.9 
LMC               05   23   34.5 -69   45    22        18.52 0.09 0.09    262.2     460.
*TucanaV          23   37   24.0 -63   16    12        18.71 0.34 0.34    999.9     99.9 
Tucana2           22   51   55.1 -58   34     8        18.80 0.20 0.20   -129.0     99.9
*SagittariusII    19   52   40.5 -22   04    05        19.13 0.15 0.15    999.9     99.9 
SMC               00   52   44.8 -72   49    43        19.03 0.12 0.12    145.6     460.
Bootes(I)         14    0    6.0  14   30     0        19.11 0.08 0.08     99.0     00.0 
Draco             17   20   12.4  57   54    55        19.40 0.17 0.17   -291.0     00.0
UrsaMinor         15    9    8.5  67   13    21        19.40 0.10 0.10   -246.9     00.0 
*HorologiumII      3   16   32.1 -50    1     5        19.46 0.20 0.20    999.9     99.9 
*Horologium1       2   55   31.7 -54    7     8        19.50 0.20 0.20    113.0     99.9 
*Eridanus3         2   22   45.5 -52   17     1        19.70 0.20 0.20    999.9     99.9 
*Phoenix2         23   39   59.4 -54   24    22        19.60 0.20 0.20    999.9     99.9 
Sculptor          01    0    9.4 -33   42    33        19.67 0.14 0.14    111.4     0.22
Sextans(I)        10   13    3.0  -1   36    53        19.67 0.10 0.10    224.2     00.0
*ReticulumIII      3   45   26.4 -60   27    00        19.81 0.31 0.31    999.9     99.9 
*Indus1           21    8   49.1 -51    9    56        20.00 0.20 0.20    999.9     99.9
UrsaMajor(I)      10   34   52.8  51   55    12        19.93 0.10 0.10    -55.3     00.0 
*Grus1            22   56   42.4 -50    9    48        20.40 0.20 0.20   -140.5     99.9 
*Pictoris1         4   43   47.4 -50   16    59        20.30 0.20 0.20    999.9     99.9
Carina            06   41   36.7 -50   57    58        20.11 0.13 0.13    222.9     00.0
Hercules          16   31    2.0  12   47    30        20.60 0.20 0.20     45.2     00.0 
HydraII           12   21   42.1 -31   59    07        20.64 0.16 0.16    303.1     99.9 
Fornax            02   39   59.3 -34   26    57        20.84 0.18 0.18     55.3     0.17
LeoIV             11   32   57.0  -0   32     0        20.94 0.09 0.09    132.3     00.0 
CanesVenaticiII   12   57   10.0  34   19    15        21.02 0.06 0.06   -128.9     00.0 
LeoV              11   31    9.6   2   13    12        21.25 0.12 0.12    173.3     00.0 
PiscesII          22   58   31.0   5   57     9        21.30 9.99 9.99   -226.5     99.9  
*ColumbaI          5   31   26.4 -28    1    48        21.30 0.22 0.22    999.9     99.9
*Pegasus3         22   24   22.6  +5   25    12        21.56 0.20 0.20    999.9     99.9  
*IndusI?          20   38   52.8 -46    9    36        21.65 0.16 0.16    999.9     99.9 
CanesVenatici(I)  13   28    3.5  33   33    21        21.69 0.10 0.10     30.9     00.0 
LeoII             11   13   28.8  22    9     6        21.84 0.13 0.13     78.0     00.0  
LeoI              10    8   28.1  12   18    23        22.02 0.13 0.13    282.5     00.0  
M32                0   42   41.8  40   51    55        24.53 0.21 0.21   -199.0     00.0
AndromedaIX        0   52   53.0  43   11    45        24.42 0.07 0.07   -209.4     00.0 
NGC205             0   40   22.1  41   41     7        24.58 0.07 0.07   -246.0     0.40 
AndromedaI         0   45   39.8  38    2    28        24.36 0.07 0.07   -376.3     00.0 
AndromedaXVII      0   37    7.0  44   19    20        24.31 0.11 0.08   -251.6     00.0 
AndromedaXXVII     0   37   27.1  45   23    13        24.59 0.12 0.12   -539.6     99.9 
AndromedaIII       0   35   33.8  36   29    52        24.37 0.07 0.07   -344.3     00.0
AndromedaXXV       0   30    8.9  46   51     7        24.55 0.12 0.12   -107.8     99.9 
AndromedaXXVI      0   23   45.6  47   54    58        24.41 0.12 0.12   -261.6     99.9 
AndromedaV         1   10   17.1  47   37    41        24.44 0.08 0.08   -403.0     00.0 
AndromedaXI        0   46   20.0  33   48     5        24.33 0.05 0.05   -419.6     00.0
AndromedaXIX       0   19   32.1  35    2    37        24.57 0.08 0.43   -111.6     99.9
AndromedaXXIII     1   29   21.8  38   43     8        24.43 0.13 0.13   -237.7     99.9 
AndromedaXX        0    7   30.7  35    7    56        24.35 0.12 0.16   -456.2     99.9
AndromedaXIII      0   51   51.0  33    0    16        24.62 0.05 0.05   -185.4     00.0
AndromedaX         1    6   33.7  44   48    16        24.13 0.08 0.13   -164.1     00.0 
AndromedaXXI      23   54   47.7  42   28    15        24.59 0.06 0.07   -362.5     99.9 
AndXXXII          00   35   59.4  51   33    35        24.45 0.14 0.14    999.9     99.9
NGC147             0   33   12.1  48   30    32        24.15 0.09 0.09   -193.1     00.0 
AndXXX            00   36   34.9  49   38    48        24.17 0.10 0.26   -139.8     99.9 
AndromedaXIV       0   51   35.0  29   41    49        24.50 0.06 0.56   -480.6     00.0
AndromedaXII       0   47   27.0  34   22    29        24.84 0.09 0.34   -558.4     00.0
AndromedaXV        1   14   18.7  38    7     3        23.98 0.26 0.12   -323.0     00.0 
AndromedaII        1   16   29.8  33   25     9        24.07 0.06 0.06   -192.4     00.0
NGC185             0   38   58.0  48   20    15        23.95 0.09 0.09   -203.8     0.11 
AndromedaXXIX     23   58   55.6  30   45    20        24.32 0.22 0.22   -194.4     99.9
AndromedaXXIV      1   18   30.0  46   21    58        23.89 0.12 0.12   -128.2     99.9 
AndromedaVII      23   26   31.7  50   40    33        24.41 0.10 0.10   -307.2     00.0 
IC10               0   20   17.3  59   18    14        24.50 0.12 0.12   -348.0     50.0 
AndXXXI           22   58   16.3  41   17    28        24.40 0.12 0.12    999.9     99.9
LGS3               1    3   55.0  21   53     6        24.43 0.07 0.07   -286.5     0.38
AndromedaVI       23   51   46.3  24   34    57        24.47 0.07 0.07   -339.8     00.0
AndromedaXXII      1   27   40.0  28    5    25        24.82 0.07 0.36   -129.8     99.9
AndromedaXVI       0   59   29.8  32   22    36        23.39 0.19 0.14   -367.3     00.0
AndromedaXXVIII   22   32   41.2  31   12    58        24.10 0.50 0.20   -326.2     99.9
AndXXXIII         03   01   23.6  40   59    18        24.44 0.18 0.18    999.9     99.9
IC1613             1    4   47.8   2    7     4        24.39 0.12 0.12   -231.6     65.0
Phoenix            1   51    6.3 -44   26    41        23.09 0.10 0.10    -13.0     0.12
Eridanus2          3   44   21.1 -43   32    00        22.90 0.20 0.20    999.9     99.9
NGC6822           19   44   56.6 -14   47    21        23.31 0.08 0.08    -54.5     130. 
Cetus              0   26   11.0 -11    2    40        24.39 0.07 0.07    -83.9     00.0
PegasusdIrr       23   28   36.3  14   44    35        24.82 0.07 0.07   -179.5      5.9
LeoT               9   34   53.4  17    3     5        23.10 0.10 0.10     38.1     0.28
WLM                0    1   58.2 -15   27    39        24.85 0.08 0.08   -130.0     61.0
AndromedaXVIII     0    2   14.5  45    5    20        25.42 0.07 0.08   -332.1     99.9 
LeoA               9   59   26.5  30   44    47        24.51 0.12 0.12     24.0     11.0 
Aquarius          20   46   51.8 -12   50    53        25.15 0.08 0.08   -137.7      4.1
Tucana            22   41   49.6 -64   25    10        24.74 0.12 0.12    194.0     00.0
SagittariusdIrr   19   29   59.0 -17   40    51        25.14 0.18 0.18    -78.5      8.8 
UGC4879            9   16    2.2  52   50    24        25.67 0.04 0.04    -29.2     0.95 
AntliaB           09   48   56.1 -25   59    24        25.56 0.16 0.16    376.0     0.28 
NGC3109           10    3    6.9 -26    9    35        25.57 0.08 0.08    403.0     450. 
SextansB          10    0    0.1   5   19    56        25.77 0.03 0.03    304.0     51.0 
Antlia            10    4    4.1 -27   19    52        25.65 0.10 0.10    362.0     0.73
SextansA          10   11    0.8  -4   41    34        25.78 0.08 0.08    324.0     77.0 
HIZSS3(A)          7    0   29.3  -4   12    30        26.12 0.14 0.14    288.0     14.0 
HIZSS3B            7    0   29.3  -4   12    30        26.12 0.14 0.14    322.6      2.6 
LeoP              10   21   45.1  18   05    17        26.05 0.20 0.20    264.0     0.94
ESO410-G005        0   15   31.6 -32   10    48        26.42 0.04 0.04    999.9     0.73
KKR25             16   13   48.0  54   22    16        26.42 0.07 0.07    -65.0     99.9 
ESO294-G010        0   26   33.4 -41   51    19        26.54 0.04 0.04    117.0     0.34 
IC5152            22    2   41.5 -51   17    47        26.45 0.05 0.05    122.0     87.  
KKH98             23   45   34.0  38   43     4        27.01 0.09 0.09   -136.9      6.6 
UKS2323-326       23   26   27.5 -32   23    20        26.72 0.09 0.09     62.0     17.0 
KK258             22   40   43.9 -30   47    59        26.85 0.07 0.07     92.0     99.9 
KKR3              14    7   10.5  35    3    37        26.70 0.12 0.12     63.3      2.5 
KKs3               2   24   44.4 -73   30    51        26.63 0.07 0.07    316.0     99.9
GR8               12   58   40.4  14   13     3        26.69 0.12 0.12    213.9     11.0 
UGC9128           14   15   56.5  23    3    19        26.80 0.04 0.04    152.0     18.0 
UGC8508           13   30   44.4  54   54    36        27.06 0.03 0.03     56.0     29.0 
IC3104            12   18   46.0 -79   43    34        26.78 0.18 0.18    429.0     13.0 
DDO125            12   27   40.9  43   29    44        27.06 0.05 0.05    194.9     35.0 
UGCA86             3   59   48.3  67    8    19        27.36 0.17 0.17     67.0     860. 
DDO99             11   50   53.0  38   52    49        27.07 0.14 0.14    251.0     52.0 
IC4662            17   47    8.8 -64   38    30        26.94 0.17 0.17    302.0     180. 
DDO190            14   24   43.4  44   31    33        27.23 0.03 0.03    150.0     43.0 
KKH86             13   54   33.5   4   14    35        27.06 0.16 0.16    287.2     0.88 
NGC4163           12   12    9.1  36   10     9        27.28 0.03 0.03    165.0      7.9 
DDO113            12   14   57.9  36   13     8        27.35 0.06 0.06    284.0     48.0 
