GalaxyName  med_std  v_-5  v_-4  v_-3  v_-2  v_-1  v_0  v_+1  v_+2  v_+3  v_+4  v_+5  
TucanaIII         0.0203817  0.0131173   0.01393     0.0183664   0.0210441   0.0209874   0.0216676   0.0233402   0.0237093   0.0203817   0.0160598   0.014201
DracoII           0.0173294  0.0121617   0.0170761   0.0250111   0.0264294   0.0207642   0.0152603   0.0131541   0.014516    0.0173294   0.0190755   0.0181126
DracoII           0.0173294  0.0121617   0.0170761   0.0250111   0.0264294   0.0207642   0.0152603   0.0131541   0.014516    0.0173294   0.0190755   0.0181126
Reticulum2        0.0205588  0.0231783   0.0211863   0.0194727   0.0193186   0.01687     0.0161151   0.0211364   0.0215399   0.0205588   0.0206347   0.019363
Willman1          0.0193755  0.0282649   0.0313696   0.0324165   0.0269195   0.0193755   0.016109    0.0187374   0.0198088   0.0150881   0.0111444   0.0131715
Horologium1       0.0171097  0.0177621   0.0208704   0.0213531   0.0184279   0.0149566   0.0155394   0.0175719   0.0171097   0.0146976   0.0136913   0.0144482
Grus1             0.0211639  0.0178811   0.0190495   0.0206918   0.0211639   0.0233582   0.024866    0.0240237   0.0214669   0.0199005   0.0197485   0.0219472
HydraII           0.0200434  0.0180828   0.0219372   0.0214226   0.0194803   0.0214698   0.0228674   0.0214962   0.0188979   0.0161245   0.0144295   0.0200434
M32               0.0384778  0.0416599   0.036867    0.0356688   0.0350742   0.0363355   0.0423227   0.0484246   0.0487521   0.0440994   0.0384778   0.0355764
AndromedaIX       0.0133341  0.00920121  0.0104914   0.0136674   0.0151488   0.0137729   0.0122403   0.0131959   0.0152494   0.0127683   0.0133341   0.017909
AndromedaI        0.0192246  0.0169464   0.0198016   0.0182787   0.0153037   0.0192246   0.0240168   0.0243047   0.0223709   0.020783    0.0172946   0.0170503
AndromedaXVII     0.0111446  0.0115649   0.00684652  0.00966075  0.0133222   0.0135791   0.0111446   0.00865372  0.00962227  0.0114673   0.0109571   0.0119156
AndromedaXXVII    0.0187585  0.0178183   0.0187585   0.0189686   0.0187007   0.0186098   0.024947    0.0287795   0.0253251   0.0188178   0.0161268   0.0142926
AndromedaXXV      0.0223272  0.0143953   0.0155183   0.0190391   0.0223272   0.0232676   0.0218728   0.0205481   0.0240955   0.0261556   0.023808    0.0253604
AndromedaXXVI     0.0121709  0.0121709   0.0131321   0.0123624   0.00956399  0.00698423  0.00826646  0.00872049  0.0108293   0.0136219   0.0149845   0.0153445
AndromedaV        0.0190351  0.0192997   0.0230765   0.0204467   0.0160469   0.0157258   0.0172641   0.017403    0.0190351   0.0212178   0.0204112   0.0154938
AndromedaXXIII    0.0195694  0.0185743   0.0195694   0.0220798   0.0213315   0.0193532   0.0163458   0.010828    0.0158194   0.0219765   0.0219313   0.0200222
AndromedaX        0.010807   0.0140751   0.0158345   0.0176498   0.0164897   0.0101542   0.00876504  0.010807    0.0100199   0.00885567  0.0100848   0.0141764
AndromedaXXI      0.0142045  0.0119861   0.0128556   0.0120775   0.0123033   0.0142045   0.0169555   0.0250577   0.0311949   0.0319057   0.0237126   0.010292
NGC147            0.0207896  0.0173569   0.018676    0.0179592   0.0170114   0.01848     0.0207896   0.0218209   0.0229536   0.0255904   0.0283829   0.0289643
AndXXX            0.0121892  0.00776673  0.0104935   0.0141597   0.0154979   0.0136964   0.0115417   0.0129693   0.0153741   0.0121892   0.00439859  0.0100449
AndromedaXV       0.0147889  0.0158348   0.0159646   0.0147889   0.0114937   0.0145978   0.0156238   0.0125255   0.0120765   0.0128247   0.0150909   0.0202205
AndromedaXXIV     0.0155428  0.0207248   0.020551    0.0191266   0.0179942   0.0149125   0.0129801   0.0123388   0.0121664   0.0161354   0.0155428   0.0143858
AndromedaVII      0.0159429  0.0251385   0.0162891   0.0111389   0.0179994   0.0234101   0.0204971   0.0147952   0.0128065   0.0159429   0.0157548   0.0130009
Cetus             0.0235621  0.0235621   0.0226428   0.0223661   0.0241735   0.0243449   0.023369    0.0248232   0.0258613   0.0245261   0.0221786   0.0207719
AndromedaXVII     0.021439   0.0170022   0.0187146   0.0197506   0.0215379   0.0227977   0.0234595   0.0259102   0.0263235   0.021439    0.0136175   0.0112486
Tucana            0.0153251  0.0145705   0.0120972   0.0103098   0.0118157   0.014947    0.0176631   0.0221525   0.024517    0.0202041   0.0153251   0.0157213
KKR25             0.0231378  0.0121408   0.0133833   0.0172082   0.0231378   0.0285328   0.0329258   0.0348564   0.0324267   0.0248091   0.0167206   0.0156708
KKs3              0.0183021  0.0113102   0.0182668   0.0237703   0.0243748   0.0229903   0.0180218   0.0179968   0.0239474   0.0239407   0.0183021   0.0127434
UrsaMinor         0.0146924  0.0152842   0.0224401   0.0280128   0.0288026   0.0212886   0.0146924   0.0109912   0.00655947  0.0077442   0.00994314  0.011509
Carina            0.0143947  0.0170731   0.0143947   0.0134313   0.013923    0.018486    0.0217597   0.0193999   0.0150614   0.0115859   0.0111341   0.013848
KK258             0.0223357  0.0266211   0.026547    0.0247384   0.0223357   0.0235198   0.0236122   0.0198184   0.0198279   0.0222716   0.0220264   0.0217819
Sculptor          0.0615595  0.0771585   0.0688822   0.0650922   0.0644557   0.064031    0.0615595   0.056406    0.0511195   0.0470676   0.0429286   0.0374547
Fornax            0.0248619  0.0239532   0.0232437   0.0248619   0.0247766   0.0262615   0.0277215   0.0276891   0.0289679   0.0279026   0.024633    0.0236013
ComaBerenices     0.0125446  0.0143205   0.0122694   0.00963371  0.00884395  0.0116188   0.0125446   0.0117069   0.0157093   0.0207007   0.020106    0.014845
Hercules          0.0124405  0.0111725   0.0124405   0.0150476   0.0172644   0.016273    0.0127235   0.0115618   0.0109773   0.0103675   0.0120414   0.0125561
CanesVenatici(I)  0.0153018  0.0142229   0.0162144   0.0147875   0.0111798   0.0138243   0.0153018   0.0181779   0.0232707   0.0227282   0.0184994   0.0144887
AndromedaXIX      0.0360227  0.0229145   0.0200095   0.0225523   0.0297335   0.0358557   0.0379927   0.036547    0.0360227   0.0378831   0.0397357   0.0421988
AndromedaII       0.0216491  0.0180616   0.0169965   0.0228817   0.0245159   0.0232664   0.02492     0.0256782   0.0216491   0.0150764   0.0123876   0.0135607

Unresolved & Undetected Galaxies in HI4PI
Last 4 added from GALFA-HI resolved category, 5 above that (UrsaMinor-Fornax) moved from HI4PI resolved to here, because radius close to 8 arcmin
These are all the galaxies that have velocity values in the hi4pi_unresolved_undetected table, this is the range of the standard deviations found at each velocity channel at the location of the galaxy in +/- 5 channels from the central velocity channel. They are all set to equal a 30arcmin diameter area.
Code: Unresolved Undetected
